id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
p0dlKwHD,26.05.2021 17:00,National Bank Egypt,Smouha,2,2,51%,49%,13,11,6,2,7,9,5,4,3,0,0,4,18,12,0,0,2,2,260,159,110,98,64,47,18,14,,,,,0,0,D
lY2uMan1,25.05.2021 21:00,Al Ittihad,El Gouna,0,1,53%,47%,10,10,1,2,9,8,3,1,5,3,1,1,20,27,0,0,4,3,270,216,164,126,78,43,25,19,,,,,,,A
WdhpLJ17,25.05.2021 21:00,Aswan SC,Ghazl El Mahallah,1,0,43%,57%,10,11,3,1,7,10,4,9,1,3,1,2,21,15,0,0,3,2,128,206,51,66,57,75,13,4,,,,,,,H
b3pWrNgE,25.05.2021 19:00,Wadi Degla,El Gaish,0,1,52%,48%,9,8,4,2,5,6,3,0,1,1,1,4,24,29,0,0,1,1,314,214,120,107,52,43,11,19,,,,,,,A
As4yNuXf,24.05.2021 21:00,Zamalek,Al Masry,3,2,59%,41%,17,10,8,4,9,6,6,4,3,0,2,5,11,18,1,1,3,5,356,189,120,78,84,33,7,9,,,,,,,H
2H4XNLHl,24.05.2021 19:00,El Ismaily,Misr Lel Makkasa,2,1,47%,53%,10,9,3,1,7,8,2,2,2,1,1,1,17,19,0,0,2,3,366,422,131,136,50,47,18,19,,,,,,,H
4tPdUNvL,21.05.2021 21:00,Enppi,Wadi Degla,0,0,49%,51%,9,13,3,2,6,11,2,5,3,4,2,3,15,7,0,0,2,1,233,258,102,117,46,65,13,11,,,,,,,D
IqT0TsfR,21.05.2021 19:00,Smouha,El-Entag El-Harby,4,2,47%,53%,13,16,10,6,3,10,3,4,0,2,4,6,20,13,0,0,3,1,245,333,118,138,53,61,12,25,,,,,,,H
AJPhV3PE,20.05.2021 21:00,Al Masry,Al Ittihad,1,0,53%,47%,10,12,4,4,6,8,2,6,0,4,4,3,14,15,0,0,1,3,312,218,62,63,32,36,26,12,,,,,,,H
WSQlWqA8,20.05.2021 21:00,Zamalek,El Gaish,2,1,56%,44%,22,14,7,5,15,9,5,5,2,2,4,5,9,14,0,0,0,1,390,207,103,87,60,46,14,13,,,,,,,H
fBs670X7,20.05.2021 19:00,El Gouna,Ghazl El Mahallah,0,0,66%,34%,5,6,2,2,3,4,6,3,0,0,2,2,12,8,0,0,1,0,283,121,94,84,45,43,5,7,,,,,,,D
GKr28tI1,19.05.2021 21:00,Aswan SC,Misr Lel Makkasa,2,4,48%,52%,15,10,6,5,9,5,3,2,5,1,1,4,19,17,0,0,2,4,221,249,107,124,70,47,14,13,,,,,,,A
Mcqb9M2e,19.05.2021 19:00,Arab Contractors,El Ismaily,1,0,42%,58%,8,9,2,1,6,8,5,3,4,0,1,1,21,12,0,1,3,2,265,367,125,127,54,51,33,24,,,,,,,H
zk9ITjlA,15.05.2021 21:00,Al Ittihad,El Gaish,1,1,48%,52%,19,13,5,2,14,11,5,7,2,0,1,4,13,14,0,0,3,4,240,209,137,102,78,58,,,,,,,,,D
dbAEUWY3,15.05.2021 19:00,Misr Lel Makkasa,El Gouna,1,0,57%,43%,6,4,3,3,3,1,5,2,4,2,3,2,17,16,0,0,0,2,461,267,126,95,50,33,,,,,,,,,H
EZK9VCJc,15.05.2021 17:00,Ceramica Cleopatra,Smouha,1,1,48%,52%,14,12,3,3,11,9,2,3,1,4,2,2,11,12,0,0,1,2,353,334,123,128,58,52,17,18,,,,,,,D
0WG5Wh4i,14.05.2021 21:00,Zamalek,Enppi,3,1,52%,48%,10,14,5,4,5,10,3,2,1,4,3,2,16,6,0,0,1,2,311,222,60,47,48,53,11,14,9,17,24,18,,,H
nTSN79Rj,14.05.2021 19:00,Ghazl El Mahallah,Al Masry,1,2,47%,53%,12,13,2,3,10,10,4,6,0,1,1,1,19,18,0,0,2,4,194,228,98,115,64,63,15,15,19,18,28,26,,,A
8xUJ8kCp,14.05.2021 17:00,El Ismaily,Aswan SC,3,2,73%,27%,13,13,5,4,8,9,4,4,0,3,2,2,21,12,0,0,2,2,490,103,120,81,69,44,11,17,18,20,23,11,,,H
48PbDV3T,14.05.2021 17:00,National Bank Egypt,Arab Contractors,0,1,55%,45%,12,9,3,7,9,2,3,0,0,1,6,3,22,13,0,0,2,1,309,231,113,124,54,51,11,9,,,0,0,,,A
Ao62lpa2,10.05.2021 21:30,Al Ahly,Zamalek,1,1,53%,47%,10,14,3,6,7,8,7,4,2,2,5,2,11,14,0,0,1,2,397,336,107,112,47,46,,,,,,,,,D
M7rzkdYF,10.05.2021 21:30,El Gouna,Aswan SC,1,1,57%,43%,11,9,3,4,8,5,5,2,2,2,3,2,13,14,0,1,1,4,399,141,141,109,69,45,,,,,,,,,D
SMtItYud,10.05.2021 21:30,National Bank Egypt,El Ismaily,0,2,30%,70%,4,15,3,4,1,11,3,7,3,2,2,3,18,14,1,0,1,1,162,429,99,110,53,77,,,,,,,,,A
6DuMuhe2,10.05.2021 21:30,Smouha,Wadi Degla,2,1,51%,49%,10,9,4,6,6,3,2,3,,,5,2,,,0,1,1,2,,,,,,,,,16,17,18,16,,,H
EF0smz3S,09.05.2021 21:30,Al Masry,Misr Lel Makkasa,0,0,58%,42%,10,6,1,1,9,5,4,2,1,2,1,1,17,22,0,0,4,5,428,224,102,80,58,45,,,,,,,,,D
GUsvlGmM,09.05.2021 21:30,El Gaish,Ghazl El Mahallah,3,1,49%,51%,14,7,9,4,5,3,6,7,,,3,6,,,0,0,3,2,,,70,73,39,38,,,13,23,20,24,,,H
KdwArfBq,09.05.2021 21:30,Enppi,Al Ittihad,0,0,49%,51%,5,8,1,3,4,5,5,4,0,1,3,1,11,17,0,0,1,2,188,255,106,146,40,62,,,,,,,,,D
bmxEsEQk,09.05.2021 21:30,Pyramids,Ceramica Cleopatra,2,4,59%,41%,25,6,6,5,19,1,9,0,3,1,1,4,14,9,0,0,3,5,364,164,128,89,76,23,,,,,,,,,A
rHqWkxJ9,08.05.2021 21:30,Arab Contractors,El-Entag El-Harby,1,1,59%,41%,7,6,2,1,5,5,7,2,2,0,0,1,21,22,0,0,3,5,276,162,55,54,54,42,,,,,,,,,D
nkjNiblc,06.05.2021 21:30,Al Ittihad,Al Ahly,1,2,39%,61%,9,16,4,4,5,12,6,4,2,4,2,3,20,11,0,0,2,1,190,454,102,125,58,66,,,,,,,,,A
d28EorqL,06.05.2021 21:30,Ghazl El Mahallah,Enppi,1,0,44%,56%,11,9,4,5,7,4,3,7,3,0,5,3,22,10,0,1,3,4,,,78,85,38,50,,,10,26,18,25,,,H
Yo2uTEBd,06.05.2021 21:30,Wadi Degla,Pyramids,1,3,49%,51%,10,23,2,11,8,12,6,3,0,1,8,1,12,16,0,0,1,4,221,349,86,100,40,74,,,,,,,,,A
QukRjI33,06.05.2021 21:30,Zamalek,Smouha,2,1,51%,49%,18,16,4,6,14,10,5,5,2,1,5,2,15,11,0,0,0,1,378,318,119,114,56,57,,,,,,,,,H
zBM4ZGYS,05.05.2021 21:30,Aswan SC,Al Masry,2,3,31%,69%,9,13,2,6,7,7,7,4,0,1,3,0,15,14,0,0,0,2,148,472,73,104,46,49,,,,,,,,,A
SpN0zcJM,05.05.2021 21:30,Ceramica Cleopatra,Arab Contractors,1,1,49%,51%,9,9,3,3,6,6,4,6,0,1,2,2,11,13,0,0,,,283,311,109,115,59,65,,,,,,,,,D
xK8WUzsp,05.05.2021 21:30,El Ismaily,El Gouna,3,2,51%,49%,6,6,6,3,0,3,1,3,3,1,1,3,20,29,0,0,1,5,293,269,95,86,46,50,,,,,,,,,H
KrbyUfdj,05.05.2021 21:30,Misr Lel Makkasa,El Gaish,0,2,67%,33%,9,8,4,4,5,4,4,1,,,2,4,,,0,0,3,1,,,71,60,33,35,,,12,12,23,14,,,A
lfOdyw4G,04.05.2021 21:30,El-Entag El-Harby,National Bank Egypt,1,3,55%,45%,20,11,7,4,13,7,6,3,2,0,1,6,11,17,0,0,,,306,234,104,94,81,51,,,,,,,,,A
6VYixJlA,03.05.2021 21:30,Ghazl El Mahallah,Al Ahly,1,0,37%,63%,10,13,4,6,6,7,2,6,2,2,6,3,22,11,0,0,6,1,123,433,86,143,44,107,,,,,,,,,H
b5VqvuKc,02.05.2021 21:30,Enppi,Misr Lel Makkasa,2,0,48%,52%,9,8,4,1,5,7,4,5,7,1,1,2,13,15,0,0,1,0,233,280,105,118,76,52,,,,,,,,,H
hSUmwaZ3,02.05.2021 21:30,Zamalek,Pyramids,1,1,50%,50%,13,9,2,3,11,6,4,5,5,4,2,1,14,20,0,0,2,2,340,317,82,79,56,57,,,,,,,,,D
46lgHHCp,01.05.2021 21:30,El Gaish,Aswan SC,3,0,55%,45%,14,9,9,4,5,5,4,3,3,0,4,6,14,9,0,0,1,1,256,215,103,95,69,55,,,,,,,,,H
rcmcGySj,01.05.2021 21:30,El-Entag El-Harby,El Ismaily,0,2,43%,57%,8,16,2,6,6,10,4,7,3,0,4,2,14,12,0,0,2,2,307,429,128,124,78,70,,,,,,,,,A
nR1RLc4T,01.05.2021 21:30,Smouha,Al Ittihad,2,2,43%,57%,12,14,6,5,6,9,3,5,0,1,3,4,18,21,0,0,4,2,156,237,100,116,56,75,,,,,,,,,D
006C8mUC,30.04.2021 21:30,Al Ahly,El Gouna,1,1,54%,46%,10,6,3,2,7,4,4,0,1,3,1,2,17,18,0,0,1,2,448,346,99,80,81,44,,,,,,,,,D
zibNMwkN,30.04.2021 21:30,National Bank Egypt,Ceramica Cleopatra,1,1,43%,57%,13,14,7,4,6,10,7,2,3,0,3,6,27,11,0,0,0,1,209,365,84,117,53,68,,,,,,,,,D
hS8INJZG,29.04.2021 21:30,Zamalek,Arab Contractors,2,2,60%,40%,17,9,5,3,12,6,6,7,1,2,1,3,16,13,0,0,1,3,422,237,127,94,81,44,,,,,,,,,D
CGoZfUaD,27.04.2021 21:30,Al Masry,Al Ahly,1,2,56%,44%,18,10,5,5,13,5,12,0,0,1,3,4,8,16,0,0,1,1,450,323,137,94,94,48,,,,,,,,,A
E3WoNnq6,26.04.2021 21:30,Zamalek,National Bank Egypt,4,1,59%,41%,18,8,7,2,11,6,5,8,0,0,1,3,18,17,0,1,3,2,422,214,102,90,58,47,,,,,,,,,H
EyAEOaKA,24.04.2021 21:30,Al Ittihad,Pyramids,0,2,50%,50%,16,9,5,5,11,4,6,5,2,1,3,5,10,22,0,0,1,1,263,303,95,96,61,49,,,24,9,25,20,,,A
MwidIael,24.04.2021 21:30,Enppi,Al Ahly,1,3,48%,52%,13,13,3,8,10,5,6,3,0,3,5,2,11,9,0,0,1,1,253,418,70,78,71,67,,,11,12,19,22,,,A
IB9AnOTE,22.04.2021 21:30,Arab Contractors,Wadi Degla,1,0,45%,55%,11,7,3,1,8,6,2,1,0,1,1,2,22,19,0,0,3,1,245,330,127,114,75,53,,,,,,,,,H
6w789TE6,22.04.2021 21:30,El-Entag El-Harby,Zamalek,0,2,52%,48%,8,7,3,2,5,5,4,2,1,1,0,3,11,18,1,1,1,4,368,236,123,96,82,46,,,,,,,,,A
M3zmiNdk,21.04.2021 21:30,Al Ahly,Smouha,1,2,63%,37%,27,3,8,3,19,0,8,3,0,1,1,7,12,13,0,0,1,3,477,157,153,96,96,42,,,,,,,,,A
Ay3rUrym,18.04.2021 21:30,Zamalek,Al Ahly,1,2,51%,49%,11,11,5,3,6,8,5,3,,,1,4,,,0,0,2,1,,,123,96,57,36,,,13,14,21,15,,,A
KtXsOSTa,17.04.2021 21:30,Ghazl El Mahallah,Pyramids,2,2,48%,52%,11,10,3,2,8,8,2,4,5,2,0,1,14,16,0,0,1,1,191,328,107,140,47,69,,,,,,,,,D
CzAG77qJ,16.04.2021 21:30,El Gouna,Enppi,1,0,47%,53%,9,7,3,3,6,4,3,5,1,1,3,2,15,14,1,0,3,1,247,205,112,112,59,62,,,,,,,,,H
xbFiDBFs,14.04.2021 21:30,Pyramids,Misr Lel Makkasa,1,1,56%,44%,9,10,6,5,3,5,3,2,3,2,4,5,19,12,0,0,0,1,499,267,149,83,90,40,,,,,,,,,D
KEWuuL4i,11.04.2021 19:00,Al Masry,El Gouna,1,0,51%,49%,13,10,5,1,8,9,6,2,1,3,1,4,18,32,0,0,2,2,239,237,108,117,66,59,,,,,,,,,H
OnH1R1zh,11.04.2021 17:00,Ceramica Cleopatra,El-Entag El-Harby,1,1,62%,38%,6,6,3,3,3,3,2,5,0,4,2,2,15,23,0,0,2,3,362,201,127,93,62,52,,,,,,,,,D
p25APu54,07.04.2021 21:00,El Ismaily,Al Masry,2,1,44%,56%,9,9,2,3,7,6,4,2,1,2,2,0,34,20,0,0,6,4,211,328,62,90,34,40,,,,,,,,,H
6B66QLkb,07.04.2021 19:00,Wadi Degla,National Bank Egypt,4,2,51%,49%,11,11,4,4,7,7,6,2,0,0,2,0,10,17,0,0,4,3,313,249,60,65,63,55,,,,,,,,,H
AqDcSsLo,07.04.2021 15:00,El Gouna,El Gaish,0,4,50%,50%,10,13,1,7,9,6,1,7,2,1,3,1,19,13,1,0,4,1,233,258,95,118,44,86,,,,,,,,,A
dtPF3bro,06.04.2021 17:00,Aswan SC,Enppi,1,0,43%,57%,5,11,3,3,2,8,2,8,1,3,3,2,20,18,0,0,,,161,265,56,78,47,81,,,,,,,,,H
KG1nLQDI,06.04.2021 15:00,Ghazl El Mahallah,Smouha,1,1,54%,46%,8,10,1,5,7,5,2,7,1,1,4,1,16,22,0,0,2,2,255,224,127,101,80,64,,,,,,,,,D
hWn3VAyQ,05.04.2021 19:00,Al Ittihad,Arab Contractors,4,2,53%,47%,17,15,7,4,10,11,4,6,1,3,2,3,14,12,0,0,0,1,236,310,135,119,62,81,,,,,,,,,H
6wTwP8Eg,03.04.2021 21:00,El Ismaily,Ceramica Cleopatra,1,2,65%,35%,14,4,4,2,10,2,8,2,0,0,0,3,25,24,0,0,2,4,391,171,117,104,73,58,,,,,,,,,A
OEwZPlam,03.04.2021 19:00,Al Masry,El Gaish,1,0,57%,43%,7,13,4,5,3,8,9,7,0,0,5,3,16,14,0,0,1,4,342,225,113,110,50,64,,,,,,,,,H
pOvVQUqs,02.04.2021 21:00,Misr Lel Makkasa,Smouha,1,1,56%,44%,9,13,4,5,5,8,5,7,2,3,4,3,13,26,0,0,3,2,363,307,118,119,49,77,,,,,,,,,D
EulaWjMJ,02.04.2021 17:00,Wadi Degla,El-Entag El-Harby,0,0,50%,50%,7,7,1,2,6,5,3,5,1,0,2,1,15,14,0,0,1,2,248,295,87,89,45,49,,,,,,,,,D
Sn84A9a0,16.03.2021 18:00,El Gaish,El Ismaily,1,1,46%,54%,6,9,2,5,4,4,1,0,5,2,4,1,26,18,0,0,1,2,98,162,105,123,52,78,,,,,,,,,D
ABDaBkpf,16.03.2021 16:00,Ceramica Cleopatra,Wadi Degla,1,2,58%,42%,13,6,3,4,10,2,2,3,0,2,2,2,14,16,0,0,4,3,356,212,115,87,75,42,,,,,,,,,A
IDYKIXiK,15.03.2021 16:00,National Bank Egypt,Al Ittihad,0,1,50%,50%,4,10,0,2,4,8,3,8,5,2,1,0,15,13,0,0,1,0,283,240,78,109,47,85,,,,,,,,,A
0xOPHi7Q,14.03.2021 14:00,Arab Contractors,Ghazl El Mahallah,0,1,56%,44%,11,8,2,4,9,4,4,3,2,1,3,2,15,15,0,0,1,1,678,546,98,85,62,46,,,,,,,,,A
WKEeCVUm,13.03.2021 18:00,Enppi,Al Masry,1,1,40%,60%,7,9,1,1,6,8,4,3,1,4,0,0,20,16,0,0,1,0,192,376,86,96,53,63,,,,,,,,,D
vNZGJDxE,12.03.2021 14:00,Smouha,Aswan SC,5,0,57%,43%,14,10,7,3,7,7,3,3,0,1,3,2,23,13,0,0,1,3,351,265,103,102,54,59,,,,,,,,,H
YPnVeAp7,11.03.2021 18:30,Zamalek,Ceramica Cleopatra,2,0,50%,50%,8,16,2,3,6,13,5,8,3,2,3,0,16,20,0,0,5,2,,,93,117,40,80,,,,,,,,,H
IVkR4tRl,10.03.2021 18:30,El Ismaily,Al Ahly,0,2,47%,53%,5,7,0,4,5,3,4,3,1,1,2,0,18,19,0,0,2,3,199,266,74,70,25,45,,,,,,,,,A
6ifSE5Xb,09.03.2021 18:00,Al Ittihad,Ghazl El Mahallah,0,0,56%,44%,7,5,2,1,5,4,12,3,0,4,1,2,12,19,0,0,0,1,296,157,121,94,92,69,,,,,,,,,D
j1cQdjV0,06.03.2021 18:00,Aswan SC,Pyramids,0,2,46%,54%,14,9,3,4,11,5,3,4,4,2,2,3,18,21,0,0,3,2,169,317,113,120,73,59,,,,,,,,,A
4peEahor,05.03.2021 18:00,El Gaish,Enppi,1,1,55%,45%,14,13,6,4,8,9,7,2,3,0,3,5,14,17,0,0,1,2,350,213,137,118,88,70,,,,,,,,,D
xbgMcWFf,05.03.2021 16:00,Al Ittihad,El-Entag El-Harby,2,0,58%,42%,17,3,8,0,9,3,5,1,2,1,0,6,20,18,0,1,1,2,343,183,147,86,101,51,,,,,,,,,H
ryfIbC0l,05.03.2021 14:00,Wadi Degla,El Ismaily,0,0,56%,44%,3,10,1,5,2,5,1,8,6,1,5,1,9,19,0,0,1,2,286,202,103,101,64,78,,,,,,,,,D
OjDo4YxR,04.03.2021 14:00,Ghazl El Mahallah,National Bank Egypt,0,0,62%,38%,25,7,7,1,18,6,7,1,1,2,1,7,16,18,0,1,1,3,373,98,141,83,113,41,,,,,,,,,D
QegZ2Ke1,02.03.2021 18:00,Al Masry,Pyramids,1,2,45%,55%,7,16,2,6,5,10,3,7,2,1,4,1,18,16,0,0,5,3,225,352,117,147,57,69,,,16,19,19,0,,,A
p0Es5ENK,02.03.2021 16:00,Misr Lel Makkasa,Arab Contractors,0,0,58%,42%,7,8,2,1,5,7,2,5,1,3,1,2,17,17,0,0,2,1,369,263,147,132,92,63,,,,,,,,,D
jwFw6f8E,02.03.2021 14:00,El Gouna,Smouha,2,2,49%,51%,9,12,4,7,5,5,5,14,0,1,5,2,30,16,0,0,3,1,206,207,84,93,48,83,,,,,,,,,D
U3GZVIPm,01.03.2021 18:30,Wadi Degla,Zamalek,0,0,44%,56%,7,19,1,7,6,12,3,8,2,0,7,1,10,15,0,0,2,1,324,504,37,67,19,38,,,,,,,,,D
Q3RBZ4DP,01.03.2021 16:00,Al Ittihad,Enppi,0,1,59%,41%,18,11,2,4,16,7,11,3,3,2,3,2,14,17,0,0,1,2,392,131,142,94,125,46,,,,,,,,,A
zsHVWbAs,28.02.2021 18:30,Al Ahly,El Gaish,2,1,58%,42%,16,8,6,4,10,4,3,3,4,1,3,4,15,13,0,0,3,1,418,214,132,107,87,65,,,,,,,,,H
6iWLQNm8,28.02.2021 13:30,Aswan SC,National Bank Egypt,0,2,41%,59%,12,4,4,2,8,2,5,2,1,3,0,4,12,17,0,0,1,3,222,335,104,97,60,48,,,,,,,,,A
fDQ9dOHU,26.02.2021 16:00,Al Masry,Ceramica Cleopatra,2,2,59%,41%,13,11,4,3,9,8,4,3,2,0,1,2,17,19,0,0,2,3,312,173,114,108,60,59,,,,,,,,,D
0lQ3yu2Q,25.02.2021 18:30,Pyramids,El Gouna,1,1,56%,44%,8,3,2,2,6,1,8,8,3,0,1,1,20,10,0,0,3,3,423,278,134,82,94,45,,,,,,,,,D
rmhhJutr,25.02.2021 16:00,Al Ittihad,Wadi Degla,2,1,48%,52%,14,8,4,5,10,3,5,4,1,1,4,2,19,19,0,0,4,4,299,288,112,99,68,52,,,,,,,,,H
fXEZzXxs,25.02.2021 13:30,El-Entag El-Harby,Enppi,0,0,46%,54%,11,9,3,3,8,6,3,3,2,2,3,3,22,17,0,0,2,0,208,318,102,103,61,47,,,,,,,,,D
IPzaxLnK,22.02.2021 18:30,Smouha,Al Masry,1,1,42%,58%,15,11,5,4,10,7,1,6,2,0,3,4,18,19,0,0,5,4,217,317,81,104,58,65,,,,,,,,,D
xhS7uDUP,21.02.2021 18:30,Al Ittihad,Aswan SC,1,3,63%,37%,18,9,5,5,13,4,11,2,4,0,2,4,18,20,0,0,1,3,414,168,117,93,82,58,,,,,,,,,A
vZyew1XD,21.02.2021 16:00,El Ismaily,Enppi,1,1,46%,54%,8,10,1,5,7,5,7,3,2,0,4,0,18,7,0,0,2,4,228,302,128,121,60,63,,,,,,,,,D
dMlV30te,21.02.2021 13:30,El Gouna,Arab Contractors,2,3,58%,42%,14,11,6,4,8,7,13,2,0,5,1,4,18,12,0,0,2,1,243,147,86,91,68,50,,,,,,,,,A
jF08b54F,20.02.2021 16:00,Misr Lel Makkasa,Wadi Degla,3,1,48%,52%,5,9,3,2,2,7,2,12,2,1,1,0,10,19,1,0,1,3,356,330,89,110,29,84,,,,,,,,,H
h8YXNLXQ,17.02.2021 18:30,Zamalek,El Ismaily,2,1,54%,46%,12,9,7,2,5,7,4,2,2,0,1,5,16,25,0,1,1,6,399,261,135,109,75,54,,,,,,,,,H
jJrDEHfD,17.02.2021 16:00,Ceramica Cleopatra,Al Ittihad,1,1,47%,53%,18,6,6,3,12,3,7,0,1,1,2,5,19,14,0,0,4,3,280,262,118,92,73,44,,,,,,,,,D
CSq9Fcu7,17.02.2021 16:00,El-Entag El-Harby,Ghazl El Mahallah,0,1,51%,49%,13,13,2,6,11,7,4,5,3,4,5,2,17,27,0,0,3,2,248,198,165,128,94,88,,,,,,,,,A
U3f4GwQ0,17.02.2021 13:30,Arab Contractors,Aswan SC,0,1,66%,34%,17,8,6,3,11,5,11,2,2,0,2,6,14,11,0,0,2,0,473,140,160,84,96,28,,,,,,,,,A
