id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
G0j0HJAf,16.02.2021 13:30,National Bank Egypt,Misr Lel Makkasa,0,1,42%,58%,4,13,1,4,3,9,3,5,1,2,3,1,13,13,1,0,1,1,319,507,112,144,59,69,,,,,,,,,A
EHZTO1IK,12.02.2021 16:00,El Gaish,Smouha,1,1,62%,38%,25,7,7,1,18,6,12,4,0,0,0,6,12,10,0,1,4,3,380,107,123,94,95,47,,,,,,,,,D
rDyqh3sq,11.02.2021 18:30,Al Ittihad,El Ismaily,1,0,37%,63%,7,6,1,1,6,5,1,7,2,0,1,0,17,15,1,0,6,2,128,311,104,123,48,74,,,,,,,,,H
KfzQPs3E,11.02.2021 16:00,Misr Lel Makkasa,El-Entag El-Harby,1,0,56%,44%,10,10,4,2,6,8,1,7,4,3,2,3,16,13,0,0,1,2,456,278,119,123,52,68,,,,,,,,,H
4nhw2vB7,11.02.2021 13:30,Ghazl El Mahallah,Ceramica Cleopatra,0,2,48%,52%,11,7,2,3,9,4,4,4,1,0,1,2,15,23,0,0,1,3,239,268,135,114,107,72,,,,,,,,,A
0E9fA23R,08.02.2021 16:00,Smouha,Enppi,1,1,53%,47%,10,10,4,3,6,7,4,3,5,1,2,3,,,0,0,2,2,398,337,124,102,64,45,,,,,,,278,247,D
6iAjBrlL,08.02.2021 13:30,Ceramica Cleopatra,Misr Lel Makkasa,1,1,56%,44%,10,4,3,2,7,2,6,3,2,1,1,2,,,0,0,1,3,462,352,132,82,64,32,,,,,,,355,261,D
z70M5MBr,07.02.2021 18:30,Zamalek,Al Ittihad,2,0,68%,32%,13,7,6,2,7,5,8,1,0,2,2,4,,,0,1,1,1,593,219,126,74,78,21,,,,,,,502,158,H
S0BnCOYE,07.02.2021 13:30,Wadi Degla,Ghazl El Mahallah,0,1,61%,39%,13,9,4,3,9,6,11,3,2,4,2,4,,,0,0,0,3,557,248,151,102,84,45,,,,,,,419,146,A
APGsD4J8,06.02.2021 18:30,Arab Contractors,Al Masry,0,1,55%,45%,11,11,2,5,9,6,7,6,1,1,4,2,,,0,0,3,2,472,346,117,100,77,42,,,,,,,371,270,A
WYHwEp42,06.02.2021 16:00,El-Entag El-Harby,Aswan SC,1,1,63%,37%,12,14,8,5,4,9,9,2,0,0,4,7,,,0,0,2,2,644,298,106,75,78,37,,,,,,,509,200,D
IVTek1R1,06.02.2021 16:00,Pyramids,El Gaish,1,0,55%,45%,10,6,2,1,8,5,6,3,1,5,1,1,,,0,1,2,6,429,321,117,117,67,51,,,,,,,307,214,H
4SPijsCe,06.02.2021 13:30,National Bank Egypt,El Gouna,1,1,47%,53%,9,5,2,2,7,3,4,7,4,1,1,1,,,0,0,0,1,456,522,131,113,54,52,,,,,,,341,405,D
nNTBge1j,03.02.2021 18:30,El Ismaily,Smouha,0,2,62%,38%,12,6,1,3,11,3,5,4,1,0,1,1,,,0,0,2,3,512,251,138,96,62,52,,,,,,,372,140,A
CUlHdqZR,03.02.2021 16:00,El Gaish,Arab Contractors,1,1,52%,48%,9,5,2,2,7,3,1,7,0,1,1,1,,,0,0,2,3,359,359,69,65,41,38,,,,,,,242,229,D
YwjDcPJL,03.02.2021 16:00,Enppi,Pyramids,3,2,40%,60%,8,14,6,4,2,10,6,5,3,2,2,3,,,0,0,2,2,288,487,91,116,57,78,,,,,,,186,337,H
GMR5c42O,03.02.2021 13:30,Misr Lel Makkasa,Al Ittihad,0,4,60%,40%,5,8,1,5,4,3,5,2,1,3,1,1,,,0,0,0,3,608,311,116,106,45,48,,,,,,,454,194,A
xCd4aok9,02.02.2021 18:30,Al Masry,National Bank Egypt,0,0,58%,42%,11,3,1,1,10,2,8,1,1,4,1,1,,,0,0,2,2,542,350,140,106,84,44,,,,,,,434,264,D
rkc00RZ2,02.02.2021 16:00,Ghazl El Mahallah,Zamalek,2,1,32%,68%,8,21,2,5,6,16,4,2,1,0,4,0,,,0,1,1,2,260,664,94,131,63,88,,,,,,,159,558,H
QDSFhFGd,02.02.2021 13:30,Aswan SC,Ceramica Cleopatra,1,1,34%,66%,8,14,4,2,4,12,4,5,2,3,1,3,,,0,0,4,1,233,600,109,150,54,103,,,,,,,152,481,D
4bbd17Kd,02.02.2021 13:30,El Gouna,El-Entag El-Harby,2,3,70%,30%,18,9,5,4,13,5,6,4,0,2,1,3,,,0,0,1,3,476,154,95,71,51,40,,,,,,,383,88,A
OlO3tgFJ,30.01.2021 18:30,El Ismaily,Pyramids,1,1,42%,58%,10,8,3,1,7,7,3,5,1,1,0,2,,,0,0,4,0,,,95,113,53,50,,,,,,,,,D
h0U7fynp,30.01.2021 16:00,Arab Contractors,Enppi,2,1,51%,49%,6,12,3,3,3,9,4,2,4,2,2,1,,,0,0,4,2,391,365,109,127,55,64,,,,,,,287,246,H
dtmuC3HH,29.01.2021 16:00,El-Entag El-Harby,Al Masry,0,3,49%,51%,6,4,4,3,2,1,4,7,0,0,0,4,,,1,0,2,1,,,103,121,48,70,,,,,,,,,A
zRbWDPn5,29.01.2021 13:30,Ceramica Cleopatra,El Gouna,2,1,49%,51%,10,5,2,4,8,1,6,2,2,3,3,0,,,0,0,3,4,402,415,108,72,68,29,,,,,,,288,322,H
EHczDq2B,29.01.2021 13:30,Wadi Degla,Aswan SC,0,0,62%,38%,13,8,3,3,10,5,6,2,2,0,3,3,,,0,0,1,1,559,301,103,95,52,59,,,,,,,456,211,D
QV9rUdf0,28.01.2021 18:30,Zamalek,Misr Lel Makkasa,4,1,55%,45%,17,7,7,2,10,5,5,3,0,1,1,3,,,0,0,1,0,593,458,96,115,67,65,,,,,,,497,365,H
S0eOFoIh,28.01.2021 13:30,National Bank Egypt,El Gaish,0,2,58%,42%,8,10,1,3,7,7,5,4,2,1,1,1,,,0,0,1,1,474,282,136,106,64,46,,,,,,,324,152,A
8fFwVxuf,26.01.2021 18:30,Pyramids,Al Ahly,0,0,49%,51%,6,6,2,2,4,4,4,5,2,0,2,2,,,0,0,1,2,384,413,115,120,50,49,,,,,,,291,302,D
MqpLH9xJ,26.01.2021 16:00,Arab Contractors,Smouha,1,2,57%,43%,16,10,3,3,13,7,5,3,2,2,1,2,,,0,0,1,3,473,307,118,114,63,48,,,,,,,336,208,A
px6JGR2n,24.01.2021 13:30,El Gouna,Wadi Degla,2,0,61%,39%,15,6,6,0,9,6,6,5,1,2,0,4,,,0,0,1,0,467,275,99,83,53,60,,,,,,,385,198,H
WY1FH7mt,24.01.2021 13:30,Enppi,National Bank Egypt,3,2,53%,47%,10,11,3,3,7,8,2,7,1,3,1,0,,,0,0,2,4,365,317,103,92,48,48,,,,,,,260,204,H
zBA8bpmI,23.01.2021 16:00,Aswan SC,Zamalek,0,0,32%,68%,6,31,4,6,2,25,2,6,1,1,6,4,,,0,0,2,1,232,690,89,143,39,117,,,,,,,138,547,D
dKB4aQXB,23.01.2021 13:30,Ghazl El Mahallah,El Ismaily,2,2,46%,54%,11,8,8,4,3,4,8,7,1,1,2,6,,,0,0,1,2,307,371,110,106,60,50,,,,,,,188,243,D
2cC006I5,22.01.2021 13:30,El Gaish,El-Entag El-Harby,3,0,45%,55%,12,12,6,3,6,9,2,12,1,3,3,3,,,0,0,,,350,473,98,132,54,105,,,,,,,229,322,H
lf8d1n3a,22.01.2021 13:30,Smouha,Pyramids,1,1,39%,61%,14,12,7,4,7,8,2,3,5,2,3,6,,,0,0,3,2,284,514,88,94,42,62,,,,,,,168,393,D
6VIi2Smg,21.01.2021 16:00,Al Ahly,Arab Contractors,3,2,61%,39%,17,7,6,3,11,4,4,4,0,3,2,3,,,0,0,5,2,551,308,141,89,79,36,,,,,,,439,202,H
rgoHIkNC,20.01.2021 13:30,Wadi Degla,Al Masry,1,3,51%,49%,5,12,2,7,3,5,7,5,4,4,4,1,,,0,0,3,1,452,417,115,119,55,68,,,,,,,342,337,A
lIWDJV76,19.01.2021 16:00,Zamalek,El Gouna,1,0,42%,58%,8,11,3,1,5,10,3,7,4,2,1,2,,,0,0,4,1,390,611,102,129,48,52,,,,,,,300,510,H
nNacGyU1,18.01.2021 16:00,El Ismaily,Arab Contractors,0,1,60%,40%,19,4,2,1,17,3,2,3,1,0,0,2,,,0,0,1,2,523,310,149,105,74,44,,,,,,,378,190,A
ARX9KBh0,18.01.2021 13:30,Ceramica Cleopatra,El Gaish,2,1,61%,39%,12,15,4,4,8,11,3,5,0,1,3,2,,,0,0,2,2,,,133,106,68,58,,,,,,,,,H
S2r5Liwf,18.01.2021 13:30,Ghazl El Mahallah,Misr Lel Makkasa,1,2,38%,62%,9,19,1,5,8,14,5,5,10,0,3,0,0,1,0,0,2,1,,,93,79,58,41,,,1,0,,,,,A
Eav1MXNm,17.01.2021 16:00,National Bank Egypt,Al Ahly,0,0,42%,58%,2,15,1,2,1,13,0,7,1,1,2,1,,,0,0,1,1,,,62,151,20,88,,,,,,,,,D
jFCRPl1b,17.01.2021 13:30,El-Entag El-Harby,Smouha,1,1,43%,57%,7,10,2,3,5,7,6,5,1,0,2,1,,,0,0,3,1,297,455,115,118,51,54,,,,,,,191,328,D
88I6QLi9,15.01.2021 13:30,El Gaish,Wadi Degla,1,0,57%,43%,12,3,5,1,7,2,8,4,0,2,1,4,,,0,0,1,4,,,60,56,40,25,,,,,,,,,H
06coJwpq,15.01.2021 13:30,Enppi,Ceramica Cleopatra,2,1,44%,56%,8,7,2,2,6,5,7,7,0,6,1,0,,,0,0,2,3,331,469,92,119,66,97,,,,,,,210,354,H
E91kIcak,15.01.2021 13:30,Pyramids,Arab Contractors,3,1,60%,40%,15,12,8,3,7,9,2,5,2,2,2,5,,,0,0,3,2,516,330,97,98,71,70,,,,,,,420,227,H
GYLEOaML,14.01.2021 16:00,El Gouna,Al Ittihad,2,0,53%,47%,10,3,3,0,7,3,2,2,3,4,0,1,,,0,0,3,3,406,353,108,114,54,65,,,,,,,301,240,H
QqT1R1x3,14.01.2021 13:30,Aswan SC,Ghazl El Mahallah,1,1,44%,56%,6,15,1,2,5,13,3,3,0,1,1,0,,,0,0,,,341,467,109,145,55,93,,,,,,,226,336,D
fPKINJyS,12.01.2021 18:30,Al Ahly,El-Entag El-Harby,4,1,55%,45%,19,20,9,5,10,15,6,5,0,0,4,5,,,0,0,0,1,510,385,73,57,63,64,,,,,,,394,286,H
8W0gHHEe,12.01.2021 16:00,Al Masry,Zamalek,0,1,53%,47%,9,11,2,3,7,8,5,2,1,2,2,2,,,0,0,1,1,545,438,132,107,85,60,,,,,,,442,332,A
O4C8H5is,12.01.2021 16:00,Arab Contractors,Ceramica Cleopatra,1,1,38%,62%,4,16,1,2,3,14,3,9,2,1,1,0,,,0,1,5,1,235,478,43,80,37,92,,,,,,,138,376,D
naHAPu7F,12.01.2021 13:30,Smouha,National Bank Egypt,2,2,55%,45%,14,3,4,3,10,0,4,0,0,3,1,2,,,0,0,1,5,445,321,109,101,71,41,,,,,,,336,224,D
hMLxNRTJ,11.01.2021 16:00,Pyramids,Wadi Degla,1,1,58%,42%,16,4,7,2,9,2,7,2,0,1,1,6,,,0,0,2,3,530,310,59,54,65,45,,,,,,,,,D
EeMG3bpd,09.01.2021 18:30,Zamalek,El Gaish,3,0,50%,50%,12,11,4,3,8,8,5,2,1,2,3,1,,,0,0,1,3,429,448,117,144,73,105,,,,,,,328,354,H
z5NC4vVk,09.01.2021 16:00,Ghazl El Mahallah,El Gouna,0,0,34%,66%,13,10,6,1,7,9,5,7,2,0,1,6,,,0,0,2,2,214,493,83,104,79,73,,,,,,,125,394,D
ITS75KFq,09.01.2021 13:30,Misr Lel Makkasa,Aswan SC,1,0,62%,38%,17,2,6,0,11,2,8,2,5,5,0,5,,,0,1,1,2,,,115,92,89,44,,,,,,,,,H
t45vNnoH,08.01.2021 18:30,Ceramica Cleopatra,Al Ahly,0,2,41%,59%,8,18,4,6,4,12,2,5,1,2,4,4,,,0,0,1,1,414,637,105,122,59,99,,,,,,,295,518,A
ns6zOSVA,08.01.2021 16:00,Wadi Degla,Enppi,1,2,59%,41%,8,6,2,2,6,4,7,1,4,1,0,1,,,0,0,1,2,633,357,171,100,107,60,,,,,,,533,271,A
Yw2WO8G4,08.01.2021 13:30,National Bank Egypt,Pyramids,0,0,39%,61%,8,19,0,3,8,16,3,6,1,1,3,0,,,0,0,4,1,269,515,117,159,69,122,,,,,,,164,394,D
CODNQUoh,07.01.2021 16:00,Al Ittihad,Al Masry,1,1,55%,45%,9,12,2,4,7,8,5,5,0,0,3,1,,,0,0,,,466,346,124,86,74,64,,,,,,,327,241,D
SbAbSsNd,03.01.2021 18:30,Misr Lel Makkasa,El Ismaily,3,1,52%,48%,14,9,6,3,8,6,6,2,4,2,2,3,,,0,0,2,1,471,426,105,119,49,58,,,,,,,352,313,H
4bEJRAWo,02.01.2021 18:30,Enppi,Zamalek,1,2,50%,50%,15,8,3,3,12,5,5,4,1,3,1,2,,,0,0,1,0,469,456,120,133,89,90,,,,,,,366,359,A
Q7FFSjHu,02.01.2021 16:00,El Gaish,Al Ittihad,1,2,45%,55%,14,9,3,3,11,6,6,3,4,2,1,2,,,0,0,3,3,309,381,96,92,69,60,,,,,,,203,276,A
bH1BNbKU,02.01.2021 13:30,Smouha,Ceramica Cleopatra,0,0,46%,54%,11,11,2,3,9,8,3,3,1,1,3,2,,,0,0,1,1,398,515,112,97,73,60,,,,,,,290,392,D
pEc7Ov5O,01.01.2021 18:30,Al Ahly,Wadi Degla,0,0,56%,44%,20,3,3,1,17,2,1,1,0,1,1,3,,,0,0,1,1,550,411,117,68,75,32,,,,,,,467,335,D
jib3PKkI,01.01.2021 16:00,Pyramids,El-Entag El-Harby,3,2,62%,38%,16,15,7,3,9,12,2,4,1,3,1,4,,,1,1,1,3,605,322,87,61,60,64,,,,,,,499,224,H
C0aaQ0zC,30.12.2020 18:30,Al Masry,Ghazl El Mahallah,1,0,61%,39%,12,9,5,4,7,5,2,3,2,1,4,4,,,1,0,3,1,530,312,157,120,86,88,,,,,,,415,198,H
fP4fRtL5,30.12.2020 16:00,Arab Contractors,National Bank Egypt,2,0,50%,50%,17,4,8,1,9,3,6,2,0,1,1,6,,,0,0,3,5,378,361,96,96,75,50,,,,,,,243,243,H
GY5jSM5a,30.12.2020 13:30,El Gouna,Misr Lel Makkasa,1,0,49%,51%,11,13,3,2,8,11,4,7,1,1,2,2,,,0,0,4,4,407,459,97,115,55,78,,,,,,,297,338,H
MB6nT2jg,29.12.2020 13:30,Aswan SC,El Ismaily,0,2,46%,54%,4,13,1,4,3,9,5,5,1,1,2,1,22,15,0,0,3,0,,,100,106,65,79,,,,,,,,,A
6PPtMoqQ,28.12.2020 18:30,Al Ahly,Al Ittihad,4,0,53%,47%,13,3,8,2,5,1,0,3,3,2,2,4,,,0,0,2,1,509,449,114,112,53,67,,,,,,,398,332,H
2eBCGP6m,28.12.2020 16:00,Smouha,Zamalek,0,2,50%,50%,10,12,4,5,6,7,6,0,1,1,3,4,,,0,0,1,1,482,477,82,84,97,48,,,,,,,349,381,A
SCDwVOLt,27.12.2020 18:30,Ceramica Cleopatra,Pyramids,0,1,51%,49%,8,9,5,3,3,6,6,2,1,0,2,5,,,0,0,,,509,465,168,137,121,78,,,,,,,386,363,A
xlYTALzP,26.12.2020 18:30,Misr Lel Makkasa,Al Masry,1,1,49%,51%,9,4,3,3,6,1,5,2,2,1,2,2,,,0,0,2,1,472,520,101,102,63,57,,,,,,,367,401,D
bcZPB1LI,26.12.2020 16:00,El-Entag El-Harby,Arab Contractors,1,0,53%,47%,13,8,4,3,9,5,3,6,0,3,3,3,,,0,0,0,1,437,405,73,78,59,82,,,,,,,338,272,H
GYqLCs6C,25.12.2020 18:30,El Ismaily,National Bank Egypt,0,0,54%,46%,22,2,4,1,18,1,7,3,1,0,1,4,,,0,0,2,4,404,348,127,107,76,40,,,,,,,272,225,D
2VuHDNj6,25.12.2020 16:00,Ghazl El Mahallah,El Gaish,2,1,47%,53%,10,16,6,7,4,9,5,8,0,0,6,4,,,0,0,5,1,338,420,95,119,65,80,,,,,,,220,289,H
88tDE3y0,25.12.2020 13:30,Aswan SC,El Gouna,0,1,,,5,10,2,2,3,8,4,7,4,0,1,2,20,23,1,0,4,3,,,84,93,56,65,,,23,24,12,20,,,A
UHs9FqMg,24.12.2020 18:30,Wadi Degla,Smouha,1,2,59%,41%,8,11,3,5,5,6,4,3,3,0,3,2,,,0,0,2,3,487,308,64,74,51,55,,,,,,,386,230,A
jHsfbriJ,22.12.2020 18:30,El Gaish,Misr Lel Makkasa,1,2,40%,60%,13,14,6,4,7,10,6,5,2,3,2,5,,,0,0,3,1,312,488,86,88,63,70,,,,,,,169,362,A
CQrjaOyD,22.12.2020 16:00,Enppi,Ghazl El Mahallah,1,1,55%,45%,12,5,2,3,10,2,11,0,4,1,2,1,,,0,0,2,1,430,322,98,81,87,43,,,,,,,303,211,D
rivn04M6,21.12.2020 18:30,Al Masry,Aswan SC,3,0,60%,40%,19,10,6,1,13,9,2,2,4,2,1,3,,,0,0,3,2,547,315,58,49,61,44,,,,,,,441,211,H
40ur1p70,21.12.2020 16:00,El Gouna,El Ismaily,2,1,57%,43%,5,8,4,3,1,5,3,2,2,1,2,2,,,0,0,2,3,516,280,87,64,63,57,,,,,,,398,164,H
Myjw2Qif,21.12.2020 13:30,National Bank Egypt,El-Entag El-Harby,3,0,44%,56%,12,15,7,1,5,14,3,3,4,0,1,4,,,0,0,3,1,300,450,93,112,44,56,,,,,,,173,317,H
A1nZ26xl,18.12.2020 18:30,Al Ahly,Ghazl El Mahallah,3,0,69%,31%,16,7,7,2,9,5,10,4,1,0,2,4,,,0,0,0,1,692,251,122,92,82,47,,,,,,,572,169,H
GvmV3nNs,18.12.2020 16:00,Al Ittihad,Smouha,1,1,56%,44%,5,11,3,1,2,10,3,4,1,0,0,2,,,0,0,0,2,516,360,144,133,89,80,,,,,,,370,225,D
EV038SEQ,18.12.2020 13:30,Misr Lel Makkasa,Enppi,0,1,69%,31%,9,4,2,1,7,3,7,6,1,9,0,2,,,0,0,0,1,721,255,149,89,72,52,,,,,,,593,146,A
df6b98aK,17.12.2020 18:30,Pyramids,Zamalek,1,1,48%,52%,11,14,6,2,5,12,2,7,2,1,1,5,,,0,0,2,0,470,530,72,65,59,58,,,,,,,367,444,D
I37fAlpE,17.12.2020 16:00,El Ismaily,El-Entag El-Harby,3,3,49%,51%,13,17,7,7,6,10,5,7,3,2,4,4,,,0,0,3,1,365,417,66,57,60,67,,,,,,,258,297,D
40JCo57D,17.12.2020 13:30,El Gouna,Al Masry,1,1,54%,46%,12,2,3,1,9,1,5,3,1,2,0,2,,,0,0,0,2,417,338,138,111,70,57,,,,,,,314,238,D
jcF8noh7,16.12.2020 18:30,Wadi Degla,Arab Contractors,2,1,51%,49%,13,17,6,6,7,11,5,2,0,1,5,4,10,23,0,0,1,1,398,379,89,107,49,59,,,24,10,19,31,308,291,H
8YP3mRx1,16.12.2020 16:00,Ceramica Cleopatra,National Bank Egypt,3,1,47%,53%,8,10,6,4,2,6,3,3,2,10,3,3,,,1,0,3,3,388,449,104,123,44,58,,,,,,,296,351,H
UsRal7Nf,16.12.2020 13:30,Aswan SC,El Gaish,2,1,42%,58%,8,17,5,3,3,14,3,7,1,2,2,3,,,0,0,0,1,322,478,87,118,48,82,,,,,,,197,362,H
b9uSMCDl,14.12.2020 18:30,Smouha,Ghazl El Mahallah,1,1,54%,46%,17,10,5,2,12,8,8,5,2,0,1,4,,,0,0,2,2,370,269,63,45,66,46,,,,,,,259,170,D
WbemUfLE,13.12.2020 18:30,Al Ahly,Misr Lel Makkasa,3,1,54%,46%,14,4,7,1,7,3,5,4,9,0,0,4,,,0,0,0,1,478,401,96,94,60,67,,,,,,,372,309,H
SQldSYkR,13.12.2020 16:00,Al Masry,El Ismaily,0,0,60%,40%,10,12,0,3,10,9,6,1,2,0,3,0,,,0,0,1,1,560,308,131,85,82,44,,,,,,,439,222,D
lzjhTEzL,12.12.2020 18:30,Arab Contractors,Zamalek,0,2,41%,59%,5,9,0,6,5,3,7,6,1,0,4,0,,,0,0,1,1,333,513,95,122,60,75,,,,,,,228,396,A
6uSrJUCD,12.12.2020 16:00,Pyramids,Al Ittihad,1,2,61%,39%,12,6,6,3,6,3,5,4,2,6,1,5,,,0,0,2,2,445,250,118,87,60,55,,,,,,,341,162,A
KOTzLjr1,12.12.2020 13:30,National Bank Egypt,Wadi Degla,1,1,51%,49%,16,4,2,1,14,3,4,2,3,2,0,2,,,0,0,0,2,407,406,70,57,67,43,,,,,,,300,295,D
SlTvKAc7,11.12.2020 18:30,El-Entag El-Harby,Ceramica Cleopatra,0,2,50%,50%,17,12,4,4,13,8,3,2,3,0,2,4,,,0,0,,,437,445,108,120,67,70,,,,,,,331,344,A
tYUWLWSf,11.12.2020 16:00,El Gaish,El Gouna,1,1,51%,49%,11,8,3,2,8,6,5,3,1,3,1,2,,,0,0,3,1,449,417,137,127,91,63,,,,,,,312,299,D
p6yONhbr,11.12.2020 13:30,Enppi,Aswan SC,0,1,55%,45%,6,5,0,1,6,4,2,3,2,3,0,0,3,4,0,0,1,2,429,327,114,112,76,49,,,4,3,8,3,336,225,A
