id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
ANFGQDUp,02.03.2019 18:00,Palermo,Lecce,2,1,14,26,6,12,8,14,13,15,2,11,0,1,11,4,14,11,0,0,2,3,395,544,14,10,101,129,44,72,,,,,,,H
6kXXYyN4,02.03.2019 15:00,AC Carpi,Ascoli,1,1,13,16,6,3,7,13,19,29,5,3,7,2,2,5,21,17,0,1,2,3,352,440,14,16,121,104,61,34,,,,,,,D
CnztXFiH,02.03.2019 15:00,Brescia,Cittadella,0,1,12,17,3,7,9,10,27,16,2,5,7,0,6,3,8,26,0,0,3,4,478,370,23,16,147,101,61,53,,,,,,,A
8ETlVgMT,02.03.2019 15:00,Padova,Crotone,0,0,13,15,4,2,9,13,20,25,3,7,4,2,2,4,22,17,0,1,2,3,295,514,16,6,95,122,38,52,,,,,,,D
jwZqWZ6N,01.03.2019 21:00,Foggia,Cosenza,1,0,4,11,3,0,1,11,11,19,1,4,6,1,0,2,14,11,0,0,3,2,372,522,11,11,82,126,27,74,,,,,,,H
xAuHxKNu,27.02.2019 21:00,Spezia,Livorno,3,0,14,8,5,3,9,5,17,11,5,9,0,3,3,2,11,16,0,0,2,3,512,485,14,6,132,145,47,59,,,,,,,H
pzqPzbhh,27.02.2019 19:00,Venezia,Perugia,2,3,14,17,4,7,10,10,16,10,4,5,2,1,4,2,9,15,0,0,3,2,477,404,10,19,153,84,85,40,,,,,,,A
bqA6IGxO,26.02.2019 21:00,Ascoli,Foggia,2,2,9,4,3,4,6,0,18,15,3,4,2,1,2,1,13,17,0,0,4,4,298,596,8,9,77,133,42,48,,,,,,,D
QVBbKx8B,26.02.2019 21:00,Cosenza,AC Carpi,1,0,20,14,7,3,13,11,22,22,9,4,4,5,3,6,15,18,0,0,0,3,435,315,12,2,125,130,64,39,,,,,,,H
G0vLyvwn,26.02.2019 21:00,Crotone,Palermo,3,0,11,14,5,7,6,7,28,17,1,8,0,6,7,3,16,25,0,0,1,3,375,484,0,15,102,113,28,45,,,,,,,H
CnEAHzhU,26.02.2019 21:00,Lecce,Verona,2,1,9,15,6,6,3,9,12,15,4,4,2,0,5,4,14,10,0,0,2,2,457,537,14,17,96,127,50,42,,,,,,,H
pKf1LIh5,26.02.2019 21:00,Padova,Brescia,1,1,10,10,3,7,7,3,11,28,4,7,0,0,6,2,28,11,0,0,4,3,237,574,16,28,79,148,29,51,,,,,,,D
4MA2JdNH,26.02.2019 21:00,Salernitana,Cremonese,2,0,22,10,6,2,16,8,17,16,10,4,1,2,2,4,16,14,0,0,3,3,467,357,14,13,107,120,47,47,,,,,,,H
OQsTZH7b,26.02.2019 18:00,Benevento,Pescara,2,1,16,5,5,3,11,2,12,20,7,1,1,2,2,3,7,10,0,0,2,1,419,454,11,13,123,91,61,30,,,,,,,H
6TecMbwa,24.02.2019 21:00,Livorno,Venezia,1,0,19,7,6,4,13,3,15,14,4,5,2,2,4,5,13,13,0,0,2,3,444,392,0,20,139,116,78,38,,,,,,,H
40ZR6JwC,23.02.2019 18:00,Foggia,Benevento,1,1,10,14,6,8,4,6,14,17,3,1,1,0,7,5,15,17,1,0,2,5,316,497,3,17,81,151,25,69,,,,,,,D
C6dgNvOh,23.02.2019 15:00,AC Carpi,Spezia,3,2,13,13,8,7,5,6,14,21,7,12,4,4,5,5,17,10,0,0,2,2,338,439,18,6,105,124,59,65,,,,,,,H
QFNz5c8O,23.02.2019 15:00,Brescia,Crotone,2,0,15,5,7,0,8,5,24,30,5,4,6,0,0,5,23,24,0,1,4,2,388,488,10,17,84,115,60,39,,,,,,,H
EVGITtoP,23.02.2019 15:00,Cittadella,Lecce,4,1,18,9,6,4,12,5,20,26,9,4,1,7,3,2,22,12,0,0,2,0,451,429,2,6,127,105,74,23,,,,,,,H
6FGO7aO5,23.02.2019 15:00,Cremonese,Ascoli,0,1,8,12,0,4,8,8,14,20,7,1,5,1,3,0,14,13,1,0,2,3,443,391,11,4,123,118,67,28,,,,,,,A
nPOW5wgI,23.02.2019 15:00,Perugia,Cosenza,0,1,7,5,1,2,6,3,12,19,5,5,6,0,1,1,13,11,0,1,1,2,599,297,1,11,137,84,58,36,,,,,,,A
Gv3pP0gt,23.02.2019 15:00,Pescara,Padova,2,0,16,19,6,3,10,16,14,22,8,9,1,0,3,4,23,15,0,0,1,4,464,361,6,6,102,126,46,64,,,,,,,H
b3hkOK8n,22.02.2019 21:00,Verona,Salernitana,1,0,12,12,2,1,10,11,24,23,7,7,1,4,1,1,22,20,1,1,3,6,410,282,13,7,81,98,31,42,,,,,,,H
Y1IG9Lgg,18.02.2019 21:00,Crotone,Pescara,0,2,23,9,6,5,17,4,20,10,5,2,0,11,3,6,17,18,0,0,2,4,578,400,20,16,192,75,85,20,,,,,,,A
pv1vT9fE,17.02.2019 21:00,Spezia,Verona,1,2,12,14,3,7,9,7,22,17,5,2,2,2,5,2,15,20,0,0,2,3,396,442,9,19,131,111,50,40,,,,,,,A
S2WgLcy8,17.02.2019 15:00,Cosenza,Cremonese,2,0,12,6,6,2,6,4,16,13,6,1,3,0,2,4,8,17,1,1,4,2,463,338,41,4,117,101,54,26,,,,,,,H
xzP7BsPt,17.02.2019 15:00,Lecce,Livorno,3,2,16,9,7,6,9,3,19,12,6,3,2,0,4,4,7,20,0,2,3,4,515,299,2,0,120,78,52,32,,,,,,,H
ChHK8u9a,16.02.2019 18:00,Ascoli,Salernitana,2,4,18,15,6,8,12,7,14,20,4,7,2,2,4,4,15,14,1,0,4,4,395,385,15,0,104,103,50,50,,,,,,,A
GQNBA1vm,16.02.2019 15:00,AC Carpi,Perugia,0,1,17,7,4,2,13,5,11,23,8,2,2,5,1,4,18,8,0,0,1,2,392,437,9,16,146,108,70,18,,,,,,,A
lCXkMwM1,16.02.2019 15:00,Benevento,Cittadella,1,0,11,10,7,2,4,8,28,13,2,4,3,4,2,6,10,22,0,0,5,4,375,459,11,8,109,102,45,61,,,,,,,H
WzczUku8,16.02.2019 15:00,Padova,Foggia,1,1,12,7,3,4,9,3,17,22,5,8,1,1,4,2,21,16,0,0,2,1,390,541,11,9,151,97,49,22,,,,,,,D
tnYoNJ6e,15.02.2019 21:00,Palermo,Brescia,1,1,14,8,2,3,12,5,17,17,5,3,0,1,2,1,18,17,0,0,2,4,527,240,12,13,130,74,98,49,,,,,,,D
Acf3VsaF,11.02.2019 21:00,Venezia,Lecce,1,1,15,24,7,8,8,16,12,13,4,6,2,0,7,6,11,12,0,0,1,1,375,593,10,7,98,146,41,71,,,,,,,D
hMabWNq9,10.02.2019 21:00,Verona,Crotone,1,1,20,6,7,3,13,3,12,19,9,2,4,1,2,6,14,11,0,1,3,4,431,475,2,6,125,96,68,25,,,,,,,D
KWqwPuxq,10.02.2019 15:00,Foggia,Pescara,1,1,14,16,4,3,10,13,16,9,2,8,0,2,2,3,9,14,0,0,3,1,559,429,7,26,111,127,36,60,,,,,,,D
EV0fX3U2,10.02.2019 15:00,Livorno,Cosenza,2,0,13,15,4,2,9,13,15,24,2,8,6,3,2,2,18,12,0,1,4,2,362,409,8,5,97,104,35,55,,,,,,,H
0SCC8Ki2,09.02.2019 18:00,Brescia,AC Carpi,3,1,20,9,6,2,14,7,12,13,2,8,3,0,1,3,12,12,0,0,1,2,544,331,2,10,119,112,66,49,,,,,,,H
2eZsOaik,09.02.2019 15:00,Cittadella,Spezia,0,1,13,24,0,9,13,15,15,21,2,7,0,6,8,0,22,13,1,0,7,2,370,498,21,10,104,99,39,53,,,,,,,A
llg7U1EL,09.02.2019 15:00,Cremonese,Padova,0,0,17,8,6,2,11,6,19,25,5,1,2,2,2,6,20,17,0,1,2,3,538,265,36,7,134,100,85,26,,,,,,,D
rBhBTLTR,09.02.2019 15:00,Perugia,Palermo,1,2,19,12,9,4,10,8,23,17,10,4,1,2,2,8,16,22,0,0,3,2,483,305,19,20,150,81,60,18,,,,,,,A
lh9890xd,08.02.2019 21:00,Salernitana,Benevento,0,1,10,13,2,5,8,8,20,14,9,6,6,4,4,2,8,16,0,0,2,2,430,365,8,19,114,104,41,32,,,,,,,A
EVvPHOUF,04.02.2019 21:00,Palermo,Foggia,0,0,28,12,6,3,22,9,13,22,10,3,4,1,3,6,18,12,0,0,3,1,442,445,9,8,140,100,85,21,,,,,,,D
SExDKQpc,03.02.2019 21:00,Pescara,Brescia,1,5,22,14,8,7,14,7,20,13,9,2,1,2,2,7,12,18,0,0,3,2,553,334,31,5,119,112,61,44,,,,,,,A
6TJ3AtNk,03.02.2019 15:00,Benevento,Venezia,3,0,19,12,7,2,12,10,15,12,6,3,0,3,2,4,12,12,0,1,3,3,479,412,11,25,113,95,48,25,,,,,,,H
zoTXF2aS,03.02.2019 15:00,Crotone,Livorno,1,1,14,10,6,4,8,6,28,22,7,8,2,7,3,5,20,21,0,0,1,3,453,363,15,16,110,104,62,40,,,,,,,D
0SzLI4F9,02.02.2019 18:00,Spezia,Cremonese,2,0,12,17,4,5,8,12,17,14,6,6,2,0,5,2,12,16,0,0,1,2,407,449,12,22,108,120,38,65,,,,,,,H
dfUTGrpM,02.02.2019 15:00,AC Carpi,Verona,1,1,11,15,4,8,7,7,12,24,1,5,7,3,7,3,17,11,0,0,3,2,327,616,9,13,93,173,36,64,,,,,,,D
65yHJp03,02.02.2019 15:00,Cosenza,Cittadella,2,0,19,8,8,4,11,4,16,21,8,2,6,1,4,6,16,14,0,0,1,2,379,389,26,18,104,98,68,45,,,,,,,H
SxLaBM7q,02.02.2019 15:00,Padova,Salernitana,0,0,8,8,2,1,6,7,22,22,4,4,3,1,1,2,19,21,0,0,4,5,316,459,16,2,97,119,37,36,,,,,,,D
KYps77Gc,28.01.2019 21:00,Verona,Cosenza,2,2,13,5,11,3,2,2,13,16,7,7,1,1,1,9,15,12,0,0,2,4,507,345,14,18,118,124,50,43,,,,,,,D
2LIYdNhj,27.01.2019 18:00,Brescia,Spezia,4,4,21,11,7,4,14,7,16,20,6,4,2,1,0,3,18,15,0,0,1,3,426,353,4,10,155,102,116,46,,,,,,,D
8bJUc3wp,27.01.2019 15:00,Livorno,Pescara,0,0,26,5,8,0,18,5,17,22,9,2,2,2,0,8,20,15,0,0,1,2,453,403,9,27,84,97,82,52,,,,,,,D
ANwf450G,27.01.2019 15:00,Venezia,Padova,2,1,13,12,5,4,8,8,23,15,3,2,1,0,3,3,14,24,1,0,4,3,455,427,8,5,104,109,69,75,,,,,,,H
tlZk5ooA,26.01.2019 18:00,Salernitana,Lecce,1,2,12,13,2,6,10,7,18,16,3,4,4,3,4,1,10,17,0,0,1,2,467,472,12,5,122,118,38,45,,,,,,,A
WxS22qVS,26.01.2019 15:00,Ascoli,Perugia,0,3,18,7,5,3,13,4,30,19,9,1,2,3,1,5,18,27,0,0,3,4,368,370,16,16,108,90,59,21,,,,,,,A
8bsw8m1i,26.01.2019 15:00,Cittadella,AC Carpi,3,1,22,8,9,3,13,5,19,19,6,6,2,1,2,7,17,18,0,0,1,2,558,337,12,9,117,99,86,47,,,,,,,H
lExb3PFM,26.01.2019 15:00,Cremonese,Palermo,2,0,18,5,10,2,8,3,22,25,5,1,1,1,2,8,25,20,0,0,1,2,366,363,5,12,126,111,76,30,,,,,,,H
2czn6RV3,25.01.2019 21:00,Foggia,Crotone,0,2,24,14,5,5,19,9,20,13,2,4,3,0,3,5,10,22,0,0,1,3,586,372,5,8,145,62,57,32,,,,,,,A
fegeq4Oj,21.01.2019 21:00,Spezia,Venezia,1,1,31,4,12,3,19,1,15,14,11,3,1,1,2,11,13,13,0,0,1,2,660,329,3,5,130,78,92,37,,,,,,,D
2cEGjnWG,20.01.2019 21:00,Pescara,Cremonese,0,0,9,18,2,5,7,13,15,14,4,11,3,0,5,2,11,15,0,0,3,0,654,354,11,0,141,108,48,42,,,,,,,D
KEMafUWi,20.01.2019 15:00,Cosenza,Ascoli,0,0,15,13,4,3,11,10,10,25,6,3,2,1,3,4,23,11,0,0,3,0,426,376,22,13,121,111,47,38,,,,,,,D
zBCOlQ0T,20.01.2019 15:00,Padova,Verona,3,0,14,14,9,5,5,9,16,14,3,15,2,0,5,6,17,14,0,0,3,2,216,603,15,5,55,147,28,102,,,,,,,H
6VK7h814,19.01.2019 18:00,Perugia,Brescia,0,2,17,8,2,6,15,2,16,19,6,4,2,2,4,2,22,19,0,0,1,3,550,314,39,27,137,78,49,41,,,,,,,A
dKDKk6oN,19.01.2019 15:00,AC Carpi,Foggia,0,2,19,9,5,6,14,3,16,26,3,4,5,2,4,5,24,14,0,0,5,3,305,483,7,15,105,100,59,39,,,,,,,A
lfACiSGA,19.01.2019 15:00,Crotone,Cittadella,0,0,9,6,2,1,7,5,24,20,7,4,3,4,1,2,14,22,0,0,2,4,418,468,9,18,86,119,62,64,,,,,,,D
SvM3glnb,19.01.2019 15:00,Lecce,Benevento,1,1,20,13,7,4,13,9,17,16,6,3,0,3,3,6,17,15,0,0,2,3,474,381,2,12,109,89,64,36,,,,,,,D
G4fipp9p,18.01.2019 21:00,Palermo,Salernitana,1,2,11,12,7,6,4,6,17,21,5,3,3,2,4,6,17,15,0,0,3,2,460,370,13,14,137,105,54,31,,,,,,,A
vJqDWQvo,30.12.2018 21:00,Spezia,Lecce,1,1,10,15,4,4,6,11,10,16,2,6,2,3,3,3,14,8,0,0,3,4,411,591,5,10,92,155,49,75,,,,,,,D
YJHukZfC,30.12.2018 18:00,Livorno,Padova,1,1,11,8,6,5,5,3,12,14,7,8,1,1,4,5,13,11,0,0,3,3,508,378,13,3,131,108,52,32,,,,,,,D
4vQOhHem,30.12.2018 16:00,Benevento,Brescia,1,1,14,6,2,3,12,3,16,20,8,2,1,2,2,1,19,14,0,0,3,2,483,401,17,4,121,87,64,42,,,,,,,D
6g7Lgcts,30.12.2018 15:00,Ascoli,Crotone,3,2,20,13,6,7,14,6,20,12,5,7,3,2,5,3,9,19,1,0,4,2,433,377,12,5,122,92,40,40,,,,,,,H
b1PSiyBg,30.12.2018 15:00,Cittadella,Palermo,0,1,23,12,5,6,18,6,18,25,10,2,1,1,5,5,24,17,0,0,2,2,415,422,29,47,134,103,69,35,,,,,,,A
xhOWjeQa,30.12.2018 15:00,Cremonese,Perugia,4,0,12,18,6,7,6,11,24,9,3,2,1,1,7,2,8,23,0,0,2,3,326,507,16,8,81,115,48,53,,,,,,,H
StHqlgAI,30.12.2018 15:00,Salernitana,Pescara,2,4,15,14,3,7,12,7,17,15,3,4,2,0,3,1,13,17,0,0,2,2,473,386,8,9,113,98,36,42,,,,,,,A
tONeeAHo,30.12.2018 15:00,Venezia,AC Carpi,1,1,19,5,11,1,8,4,21,13,7,3,1,0,0,10,12,21,0,0,2,3,517,280,10,20,158,77,66,37,,,,,,,D
fTIyjFu6,30.12.2018 12:30,Foggia,Verona,2,2,17,11,8,5,9,6,10,19,7,2,1,3,3,6,20,13,0,0,4,5,318,331,,,97,68,53,19,,,,,,,D
4QpjvItf,27.12.2018 21:00,Cosenza,Salernitana,0,0,13,8,6,3,7,5,22,19,1,0,0,2,3,6,20,18,0,0,2,2,450,348,27,26,151,103,51,16,,,,,,,D
bmpfwxd0,27.12.2018 21:00,Crotone,Spezia,0,3,16,20,4,5,12,15,13,19,6,3,0,3,2,4,17,10,0,0,2,2,448,401,8,11,158,90,54,35,,,,,,,A
fFw3yGQC,27.12.2018 21:00,Padova,Benevento,0,1,15,22,2,7,13,15,21,16,4,3,0,4,6,2,14,16,0,0,1,4,330,439,10,14,106,153,50,90,,,,,,,A
Y5x7zztJ,27.12.2018 21:00,Palermo,Ascoli,3,0,16,16,5,1,11,15,6,14,7,3,1,0,1,2,13,6,0,0,1,1,450,460,16,37,103,100,61,49,,,,,,,H
MLVlaJIJ,27.12.2018 21:00,Perugia,Foggia,3,0,17,9,9,3,8,6,11,19,5,3,2,0,3,6,16,12,0,0,3,3,412,563,24,13,72,83,57,81,,,,,,,H
CjlbxdB6,27.12.2018 21:00,Verona,Cittadella,4,0,10,17,4,7,6,10,21,13,3,5,3,6,7,1,10,15,0,0,0,2,410,514,11,5,91,154,23,69,,,,,,,H
0CUhbwYP,27.12.2018 19:00,Pescara,Venezia,1,0,19,11,4,4,15,7,15,13,11,4,2,2,4,3,12,13,0,0,,,535,445,11,13,119,89,71,31,,,,,,,H
QZonubRm,26.12.2018 15:00,AC Carpi,Livorno,1,4,10,18,1,9,9,9,18,23,3,4,0,4,5,0,19,17,0,0,1,3,486,459,6,8,127,115,54,65,,,,,,,A
pOUltvCs,26.12.2018 15:00,Brescia,Cremonese,3,2,19,15,5,6,14,9,18,14,2,6,7,2,4,2,18,21,0,0,1,3,412,343,16,5,107,103,50,34,,,,,,,H
449FRvcl,23.12.2018 21:00,Benevento,Crotone,3,0,12,9,5,0,7,9,26,14,1,3,2,2,0,2,12,24,0,0,1,4,364,461,6,0,121,92,38,27,,,,,,,H
lhqJo0lK,23.12.2018 17:30,Spezia,Palermo,1,1,15,13,6,7,9,6,14,10,5,7,1,2,6,5,9,12,0,0,2,4,453,497,5,4,91,129,40,55,,,,,,,D
nTbKQbCf,23.12.2018 15:00,Cittadella,Perugia,2,2,19,3,5,2,14,1,13,14,13,2,0,5,0,3,13,10,0,0,5,2,524,370,22,15,138,68,95,25,,,,,,,D
fg2SOxs7,23.12.2018 15:00,Lecce,Padova,3,2,16,11,9,3,7,8,12,10,4,4,4,1,1,6,10,14,0,0,2,1,608,447,19,6,109,115,32,32,,,,,,,H
rFrNpK3Q,23.12.2018 15:00,Venezia,Cosenza,0,1,10,12,5,3,5,9,30,16,2,1,0,1,2,5,16,29,0,0,2,3,464,431,29,12,118,101,55,33,,,,,,,A
zkuFntZD,23.12.2018 12:30,Salernitana,Foggia,1,0,13,10,3,4,10,6,18,19,6,3,2,1,4,2,17,17,0,1,3,3,400,477,0,5,84,113,42,30,,,,,,,H
QJcOPIR0,22.12.2018 15:00,Cremonese,AC Carpi,1,2,23,10,4,8,19,2,19,16,13,1,2,1,6,3,14,18,0,1,1,3,473,267,11,17,136,74,78,33,,,,,,,A
Yq1WNddD,22.12.2018 15:00,Livorno,Verona,0,0,20,10,3,3,17,7,14,26,7,2,3,4,3,3,23,11,0,0,2,3,421,478,26,6,99,102,64,28,,,,,,,D
hU5BSKsr,21.12.2018 21:00,Ascoli,Brescia,1,1,15,12,5,5,10,7,19,16,2,3,1,2,4,4,14,18,0,0,2,3,440,445,15,23,109,105,46,25,,,,,,,D
vNPzZM4E,17.12.2018 21:00,Verona,Pescara,3,1,9,18,4,6,5,12,20,15,1,4,1,3,5,2,16,16,0,0,2,3,595,490,4,16,118,113,52,56,,,,,,,H
CApxELSl,16.12.2018 21:00,Brescia,Lecce,2,1,23,15,7,6,16,9,22,23,10,2,5,6,5,5,19,15,0,0,3,2,488,417,22,4,128,69,100,28,,,,,,,H
YPYpCac1,16.12.2018 17:00,Cosenza,Benevento,0,0,10,13,3,4,7,9,21,17,4,5,0,4,4,3,16,17,0,0,1,3,531,382,5,32,63,68,60,58,,,,,,,D
j1qtDure,16.12.2018 15:00,AC Carpi,Salernitana,3,2,12,28,4,12,8,16,17,16,4,8,2,3,10,1,19,15,0,0,3,2,352,468,18,19,96,136,54,59,,,,,,,H
nTxkBJC7,16.12.2018 15:00,Crotone,Venezia,1,1,12,8,3,4,9,4,5,21,4,5,0,1,3,2,22,8,0,0,4,3,588,391,4,16,119,92,64,39,,,,,,,D
IZVYE1Dr,15.12.2018 15:00,Ascoli,Cittadella,1,1,16,12,5,5,11,7,19,16,8,4,5,1,4,4,11,18,0,0,1,3,368,527,11,5,86,122,52,45,,,,,,,D
dbKuYtKK,15.12.2018 15:00,Palermo,Livorno,1,1,18,8,7,4,11,4,21,20,3,3,2,1,3,6,19,18,0,0,2,3,522,361,9,14,137,94,60,24,,,,,,,D
zkJqX0ZQ,15.12.2018 15:00,Perugia,Spezia,1,1,15,19,4,7,11,12,10,14,4,10,1,1,6,3,12,11,0,0,1,3,498,553,14,8,105,113,31,72,,,,,,,D
0WQWZ2k8,14.12.2018 21:00,Foggia,Cremonese,3,1,9,8,4,3,5,5,21,22,1,6,4,5,2,1,16,17,0,0,3,4,375,548,17,16,99,111,37,54,,,,,,,H
KbjbL3zF,10.12.2018 21:00,Salernitana,Brescia,1,3,11,28,2,9,9,19,13,15,5,5,2,0,6,1,14,13,0,0,2,0,448,435,19,19,119,129,37,48,,,,,,,A
Qu7e1rqq,09.12.2018 21:00,Benevento,Verona,0,1,13,14,2,8,11,6,25,18,8,5,2,4,7,2,16,21,1,1,3,5,377,498,7,2,95,106,51,27,,,,,,,A
xGAa02bk,09.12.2018 15:00,Cremonese,Cittadella,0,0,10,12,3,4,7,8,24,13,5,6,1,6,4,3,13,20,0,0,3,2,332,456,15,18,102,97,63,61,,,,,,,D
AT87btT1,09.12.2018 15:00,Livorno,Foggia,3,1,19,15,9,6,10,9,12,21,3,5,1,2,5,6,20,10,0,0,3,2,330,533,13,23,109,110,44,32,,,,,,,H
WxA3aMDe,08.12.2018 15:00,Lecce,Perugia,0,0,8,12,3,5,5,7,13,13,6,2,1,1,5,3,12,12,0,0,1,2,483,520,3,11,120,93,59,30,,,,,,,D
Y1f2KNkL,08.12.2018 15:00,Spezia,Cosenza,4,0,13,13,5,1,8,12,12,14,3,10,0,0,1,1,13,10,0,0,1,2,481,521,2,17,76,129,28,72,,,,,,,H
GQq7Js5R,08.12.2018 15:00,Venezia,Ascoli,1,0,13,8,8,2,5,6,26,19,3,2,4,5,2,7,15,20,0,1,3,4,418,507,18,12,122,103,39,35,,,,,,,H
nohjNP52,08.12.2018 12:30,Padova,Palermo,1,3,17,9,6,5,11,4,22,22,4,6,1,5,2,5,21,19,0,0,3,3,356,440,7,11,90,102,40,45,,,,,,,A
QyifMqL8,07.12.2018 21:00,Pescara,AC Carpi,2,0,19,12,3,5,16,7,15,18,8,3,3,2,5,2,14,13,0,0,1,2,526,265,7,13,135,92,54,51,,,,,,,H
xIkJKWq4,03.12.2018 21:00,Foggia,Venezia,1,1,10,23,3,6,7,17,21,15,1,5,2,2,5,3,14,19,0,0,2,3,566,372,2,4,132,109,45,32,,,,,,,D
prgRIAEG,02.12.2018 21:00,Perugia,Pescara,2,1,14,16,7,4,7,12,12,10,3,7,4,1,3,5,8,10,0,0,1,0,524,506,15,28,22,15,18,27,,,,,,,H
ld9ObkNp,02.12.2018 15:00,AC Carpi,Lecce,0,1,8,8,1,3,7,5,12,21,2,6,3,4,2,1,20,11,0,0,4,3,340,537,11,18,96,107,56,38,,,,,,,A
nmNd3VET,02.12.2018 15:00,Brescia,Livorno,2,0,9,11,6,3,3,8,15,19,4,6,4,0,3,4,15,15,1,0,3,2,373,497,5,10,112,133,39,57,,,,,,,H
6y6a4BaN,01.12.2018 18:00,Ascoli,Spezia,3,1,6,16,4,4,2,12,16,15,2,9,1,5,3,1,12,16,1,1,5,1,236,525,11,25,81,135,24,67,,,,,,,H
2ac6NYao,01.12.2018 15:00,Cittadella,Salernitana,3,1,14,9,9,6,5,3,12,17,7,2,0,4,5,6,17,12,0,0,3,1,478,343,14,13,132,91,57,34,,,,,,,H
