id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,result
SGXwSoN0,02.03.2019 14:00,Kayserispor,Besiktas,2,2,40%,60%,14,10,5,4,5,5,4,1,14,18,4,7,4,3,2,3,16,11,3,3,318,470,211,378,13,17,87,107,57,67,0,0,,,D
CpudzAFK,01.03.2019 18:30,Antalyaspor,Ankaragucu,2,4,56%,44%,17,10,5,4,8,3,4,3,24,9,4,4,1,1,0,3,8,23,3,6,423,342,342,248,11,14,112,96,65,48,0,0,,,A
GIomxWp8,25.02.2019 19:00,Besiktas,Fenerbahce,3,3,39%,61%,9,16,5,4,3,8,1,4,17,22,3,5,0,1,1,2,22,19,2,4,317,482,209,371,18,19,101,110,57,69,0,0,,,D
f9piyj0E,24.02.2019 17:00,Basaksehir,Bursaspor,3,0,47%,53%,11,14,6,3,4,8,1,3,15,14,3,5,1,3,3,3,13,13,0,2,407,456,243,282,19,5,102,138,50,98,0,0,,,H
lCg1ESh1,24.02.2019 17:00,Galatasaray,Akhisarspor,1,0,72%,28%,21,4,6,1,9,2,6,1,28,15,15,2,0,4,1,5,15,24,2,6,603,237,516,165,12,13,96,79,113,43,0,0,,,H
2Fc5Dn87,24.02.2019 14:00,Konyaspor,Kayserispor,0,1,62%,38%,8,10,1,2,4,5,3,3,14,9,6,4,2,4,1,1,7,10,2,1,619,362,523,262,15,22,123,99,75,52,0,0,,,A
6m4dF8we,24.02.2019 11:30,Ankaragucu,Erzurumspor,2,1,54%,46%,14,14,6,6,7,3,1,5,12,27,2,6,4,2,5,4,23,12,2,2,458,388,340,266,19,12,87,107,59,59,0,1,,,H
zaUHMjoL,23.02.2019 14:00,Alanyaspor,Kasimpasa,3,0,52%,48%,19,5,9,2,8,3,2,0,21,20,5,6,4,7,2,6,16,16,3,2,486,443,378,340,25,16,99,109,78,57,0,1,,,H
Sd5hGlOl,23.02.2019 11:30,Sivasspor,Antalyaspor,1,2,55%,45%,11,8,4,4,5,4,2,0,6,17,7,5,0,3,2,3,17,9,1,2,514,431,392,333,13,24,99,93,62,53,0,0,,,A
INJMLA0R,22.02.2019 18:30,Goztepe,Trabzonspor,1,3,55%,45%,8,13,1,6,5,6,2,1,8,13,10,3,0,0,3,0,13,9,2,1,515,417,382,321,18,17,100,79,90,53,0,0,,,A
KW5lHU8r,22.02.2019 18:30,Rizespor,Yeni Malatyaspor,3,0,58%,42%,14,11,6,3,5,5,3,3,19,13,3,2,3,0,3,3,11,18,2,3,539,387,420,261,10,13,101,93,63,53,0,0,,,H
AcdPG0c2,18.02.2019 18:00,Antalyaspor,Basaksehir,0,1,40%,60%,8,17,3,8,4,6,1,3,19,12,8,5,2,4,7,3,12,15,3,2,316,485,242,398,17,16,87,103,62,66,0,0,,,A
Q9fDJ2Dq,17.02.2019 17:00,Kasimpasa,Galatasaray,1,4,35%,65%,13,10,5,6,6,3,2,1,11,18,8,4,2,1,2,4,16,10,3,5,340,666,275,597,15,19,78,120,82,72,0,0,,,A
xpbHIMSk,17.02.2019 14:00,Kayserispor,Goztepe,2,1,45%,55%,15,8,4,2,8,1,3,5,10,12,3,5,2,0,1,2,10,10,4,1,394,469,311,375,14,19,111,131,60,60,0,0,,,H
KSHpOr5S,17.02.2019 14:00,Trabzonspor,Alanyaspor,0,2,62%,38%,13,10,2,6,3,2,8,2,16,21,4,2,2,0,4,2,17,17,1,2,549,329,450,233,24,42,102,89,79,66,0,0,,,A
W6cLHtrd,17.02.2019 11:30,Erzurumspor,Sivasspor,4,2,45%,55%,12,18,6,6,3,9,3,3,15,12,2,5,2,1,4,2,15,13,2,5,329,396,247,306,24,19,98,101,67,73,0,0,,,H
MeQDNWVE,16.02.2019 17:00,Fenerbahce,Konyaspor,1,1,68%,32%,18,3,3,2,7,1,8,0,11,23,11,3,7,1,1,2,16,10,3,1,575,278,493,182,14,8,91,82,80,22,0,1,,,D
lrS5Ph12,16.02.2019 14:00,Bursaspor,Rizespor,0,2,57%,43%,17,5,2,5,7,0,8,0,23,17,8,4,2,1,3,2,14,22,3,2,444,357,337,239,8,25,119,91,91,47,0,0,,,A
txJtPOkM,16.02.2019 11:30,Akhisarspor,Ankaragucu,0,0,67%,33%,17,9,8,2,3,5,6,2,25,16,9,0,4,2,2,8,11,23,4,4,478,239,388,140,15,21,118,99,99,35,0,1,,,D
SYQ9OCG8,15.02.2019 18:30,Yeni Malatyaspor,Besiktas,1,2,34%,66%,4,18,1,7,3,8,0,3,21,11,3,10,3,1,5,0,8,20,1,1,292,557,198,467,10,10,78,99,43,71,1,0,,,A
GKGFAPzT,11.02.2019 18:00,Ankaragucu,Kasimpasa,3,0,47%,53%,8,15,5,2,3,9,0,4,12,17,4,4,1,0,2,2,16,12,3,1,395,427,305,335,29,18,111,110,67,99,0,0,,,H
OtYs4NDd,11.02.2019 18:00,Sivasspor,Akhisarspor,2,1,44%,56%,13,13,6,3,5,9,2,1,10,18,3,8,0,4,2,4,18,13,4,2,423,517,340,441,26,10,106,121,44,72,1,0,,,H
xpMPS6jc,10.02.2019 17:00,Galatasaray,Trabzonspor,3,1,62%,38%,18,14,9,4,6,5,3,5,11,17,4,9,0,0,3,6,17,12,4,1,545,322,465,257,20,21,121,76,77,59,0,0,,,H
jmQTRQ53,10.02.2019 14:00,Goztepe,Alanyaspor,3,2,45%,55%,14,14,7,6,6,7,1,1,17,15,1,5,2,3,4,4,13,14,8,4,352,419,241,319,25,12,95,98,64,77,1,0,,,H
C2ExQ4zG,10.02.2019 11:30,Konyaspor,Yeni Malatyaspor,1,1,64%,36%,8,8,4,3,4,4,0,1,18,13,4,1,1,1,2,3,12,18,5,4,620,343,533,240,9,14,132,87,86,49,0,0,,,D
YBFYQpL9,09.02.2019 17:00,Besiktas,Bursaspor,2,0,55%,45%,11,8,7,3,3,5,1,0,16,19,4,3,2,2,3,5,17,14,1,1,496,408,394,311,20,21,140,115,66,57,0,0,,,H
McHBB5LM,09.02.2019 14:00,Basaksehir,Erzurumspor,1,1,54%,46%,9,13,2,2,5,10,2,1,13,22,3,6,1,2,1,1,21,12,3,1,461,382,370,296,9,14,84,95,67,77,0,0,,,D
pjZw53bj,09.02.2019 14:00,Rizespor,Antalyaspor,1,1,46%,54%,20,25,5,4,7,15,8,6,13,17,7,8,2,0,3,4,15,13,2,1,385,431,300,355,11,11,93,92,64,92,0,0,,,D
IT2s6qqp,08.02.2019 18:30,Kayserispor,Fenerbahce,1,0,54%,46%,13,8,5,2,4,4,4,2,19,16,3,5,4,3,2,4,14,18,2,5,446,368,374,290,13,19,127,97,76,59,0,2,,,H
8fD7Co6G,04.02.2019 18:00,Bursaspor,Konyaspor,0,0,59%,41%,17,4,3,3,7,1,7,0,16,14,4,4,3,3,3,3,11,15,0,2,501,358,379,242,10,6,141,114,75,43,0,0,,,D
QZw4hQEp,03.02.2019 17:00,Antalyaspor,Besiktas,2,6,50%,50%,11,13,4,7,5,5,2,1,14,18,7,7,7,0,1,2,12,14,3,2,360,364,273,261,13,18,95,88,55,52,0,0,,,A
vFLjGT6i,03.02.2019 14:00,Akhisarspor,Basaksehir,0,3,59%,41%,22,18,6,6,8,9,8,3,20,18,5,3,5,2,3,6,14,17,4,3,486,342,402,239,11,16,108,87,90,49,0,0,,,A
I5KfFmMc,03.02.2019 11:30,Erzurumspor,Rizespor,0,1,52%,48%,10,6,2,1,2,5,6,0,15,16,17,1,1,1,0,2,15,14,1,1,363,356,286,263,8,13,90,91,73,37,0,0,,,A
QVN2DRjA,02.02.2019 17:00,Alanyaspor,Galatasaray,1,1,45%,55%,13,5,7,3,4,0,2,2,19,24,2,3,1,1,2,6,22,18,3,5,380,489,290,406,24,12,104,117,78,48,0,0,,,D
YwGzAhpI,02.02.2019 14:00,Kasimpasa,Sivasspor,1,3,49%,51%,5,21,3,8,2,11,0,2,12,15,3,11,0,2,5,2,15,10,3,0,445,452,362,354,21,23,120,108,64,97,0,0,,,A
xAs8ipUj,02.02.2019 14:00,Trabzonspor,Ankaragucu,1,0,59%,41%,21,13,8,5,8,4,5,4,20,21,2,5,2,3,5,7,19,17,4,3,450,303,370,204,15,24,89,84,66,63,0,0,,,H
nuPbE7y4,02.02.2019 11:30,Yeni Malatyaspor,Kayserispor,1,1,59%,41%,7,7,5,4,2,3,,,16,14,4,3,3,0,3,4,11,16,0,3,,,,,,,90,67,59,36,0,0,,,D
fmHWAYUB,01.02.2019 18:30,Fenerbahce,Goztepe,2,0,62%,38%,12,6,4,3,5,2,3,1,19,18,3,2,3,2,3,2,16,15,3,3,608,367,501,281,21,15,139,103,82,52,0,1,,,H
jeKFEGVn,28.01.2019 18:00,Ankaragucu,Alanyaspor,0,2,55%,45%,8,11,3,4,2,4,3,3,21,16,4,3,2,0,2,3,14,21,5,1,468,407,375,317,18,22,140,104,80,68,0,0,,,A
8WUAFdGt,28.01.2019 18:00,Basaksehir,Kasimpasa,2,0,51%,49%,14,9,5,2,5,5,4,2,11,20,7,2,2,3,2,3,18,8,2,0,484,487,400,388,24,19,78,71,73,65,0,0,,,H
xCMRBEF5,28.01.2019 18:00,Fenerbahce,Yeni Malatyaspor,3,2,66%,34%,19,8,8,4,7,3,4,1,22,23,6,4,3,3,2,5,21,20,5,4,498,252,422,160,17,10,73,59,59,27,0,0,,,H
I16hcF0C,27.01.2019 17:00,Sivasspor,Trabzonspor,1,1,51%,49%,15,15,5,6,6,5,4,4,15,14,3,5,3,2,5,4,11,14,0,1,465,448,355,338,21,28,85,91,68,68,0,0,,,D
vHf1egVO,27.01.2019 14:00,Konyaspor,Antalyaspor,2,0,60%,40%,11,7,4,2,4,5,3,0,13,21,5,1,2,3,2,2,19,10,1,1,560,369,451,272,11,11,102,75,71,42,0,0,,,H
bLNNCf0a,27.01.2019 11:30,Rizespor,Akhisarspor,3,1,71%,29%,25,9,6,4,9,3,10,2,10,15,6,1,2,3,3,3,16,13,2,1,633,265,562,197,17,10,122,78,96,49,0,1,,,H
4bOJDzog,26.01.2019 17:00,Goztepe,Galatasaray,0,1,45%,55%,16,9,1,6,8,2,7,1,8,14,13,3,2,6,5,1,17,12,3,3,277,365,168,259,15,23,99,123,49,61,0,0,,,A
0QecdZFI,26.01.2019 14:00,Kayserispor,Bursaspor,1,1,49%,51%,7,12,4,3,1,6,2,3,10,19,8,7,5,1,2,3,15,9,2,2,412,432,295,314,4,15,85,110,45,52,1,0,,,D
6NrqKx8P,25.01.2019 18:30,Besiktas,Erzurumspor,1,1,63%,37%,15,10,5,3,7,4,3,3,14,16,11,2,1,0,2,4,15,14,4,4,547,318,410,191,14,23,121,83,115,62,1,0,,,D
Ay3payWa,21.01.2019 18:00,Bursaspor,Fenerbahce,1,1,48%,52%,13,5,4,3,8,2,1,0,21,19,3,7,1,3,2,3,18,18,4,2,437,342,308,209,16,19,91,83,61,41,0,0,,,D
Kh527aOJ,21.01.2019 18:00,Kasimpasa,Rizespor,0,1,55%,45%,22,7,6,2,6,4,10,1,22,14,10,3,1,3,1,6,13,19,2,4,570,336,455,238,13,30,122,90,118,55,0,0,,,A
ImRJrGoJ,20.01.2019 17:00,Trabzonspor,Basaksehir,2,4,49%,51%,20,10,10,8,6,1,4,1,15,17,8,4,1,0,4,8,17,15,3,2,453,473,341,373,15,21,106,88,82,56,0,0,,,A
IwO56JwQ,20.01.2019 14:00,Alanyaspor,Sivasspor,2,0,50%,50%,19,9,8,0,7,8,4,1,14,18,8,2,5,0,0,6,13,15,0,3,463,453,349,344,20,10,95,98,86,59,0,0,,,H
vcSFqdWC,19.01.2019 17:00,Galatasaray,Ankaragucu,6,0,67%,33%,23,11,10,3,9,5,4,3,15,15,0,2,2,1,3,4,13,13,3,3,657,324,589,272,16,8,95,73,65,53,0,0,,,H
Wp4t0HGg,19.01.2019 14:00,Antalyaspor,Kayserispor,0,0,41%,59%,3,16,0,2,2,8,1,6,14,17,2,6,4,1,2,0,13,13,0,1,382,492,307,417,7,16,100,121,52,87,0,0,,,D
E99y1c1m,19.01.2019 11:30,Erzurumspor,Konyaspor,1,2,67%,33%,14,10,3,4,7,3,4,3,17,14,8,4,2,2,2,2,11,15,3,4,528,264,413,162,12,11,125,88,90,43,0,0,,,A
4b2lbeo6,19.01.2019 11:30,Yeni Malatyaspor,Goztepe,3,2,36%,64%,9,10,5,3,4,5,0,2,11,13,2,11,0,1,1,2,13,11,1,1,275,471,184,373,13,20,88,113,44,98,0,0,,,H
zJAX1wns,18.01.2019 18:30,Akhisarspor,Besiktas,0,3,52%,48%,15,11,5,5,6,3,4,3,19,17,8,2,6,2,5,5,12,18,3,4,439,411,360,318,18,15,91,72,86,49,0,0,,,A
z5VbmvXm,24.12.2018 18:00,Akhisarspor,Konyaspor,0,0,50%,50%,8,10,3,3,5,3,0,4,14,17,0,4,4,1,3,3,14,15,3,3,409,414,317,302,12,19,90,105,77,71,0,0,,,D
vZqTh09Q,24.12.2018 18:00,Antalyaspor,Fenerbahce,0,0,39%,61%,7,19,3,6,1,11,3,2,16,15,2,9,3,4,6,3,12,11,1,4,357,530,288,451,10,21,69,98,42,83,0,1,,,D
bNSVgtfK,23.12.2018 17:00,Galatasaray,Sivasspor,4,2,52%,48%,15,16,5,7,6,8,4,1,5,18,7,5,1,1,5,1,18,4,2,2,448,411,348,309,15,14,97,85,62,66,0,0,,,H
ANNBpxH6,23.12.2018 14:00,Bursaspor,Yeni Malatyaspor,1,1,60%,40%,8,4,2,1,4,2,2,1,11,14,5,1,1,0,0,1,13,11,1,3,539,356,453,256,15,12,107,83,74,23,0,1,,,D
l8Z2nbnf,23.12.2018 14:00,Trabzonspor,Rizespor,4,1,49%,51%,18,13,5,6,7,5,6,2,9,21,6,4,3,0,5,1,18,9,4,2,418,425,335,336,11,22,95,118,68,71,0,0,,,H
trWflKHs,23.12.2018 11:30,Erzurumspor,Kayserispor,1,1,60%,40%,20,7,5,3,10,3,5,1,11,13,5,3,0,0,2,4,14,12,2,6,492,327,414,246,13,9,105,75,65,32,0,0,,,D
KWTRfMvE,22.12.2018 17:00,Kasimpasa,Besiktas,4,1,40%,60%,12,16,7,6,3,8,2,2,14,18,4,3,6,0,5,3,14,15,3,3,314,476,240,406,25,18,92,99,60,69,0,0,,,H
WWO7oI10,22.12.2018 14:00,Alanyaspor,Basaksehir,1,1,34%,66%,13,12,7,6,6,5,0,1,18,17,1,3,4,5,5,6,13,12,3,2,302,619,230,525,21,13,103,164,59,91,1,0,,,D
6TupWx2D,22.12.2018 11:30,Ankaragucu,Goztepe,0,3,52%,48%,13,11,1,4,7,5,5,2,20,15,4,3,0,2,1,1,16,18,2,1,401,372,314,276,23,20,89,103,68,71,0,0,,,A
hQytXIn7,17.12.2018 18:00,Fenerbahce,Erzurumspor,2,2,56%,44%,14,6,5,3,8,2,1,1,17,11,7,1,0,1,1,3,11,17,0,3,575,459,471,367,18,14,134,101,89,49,0,0,,,D
WAmXYvIf,16.12.2018 17:00,Besiktas,Trabzonspor,2,2,61%,39%,18,14,8,7,8,6,2,1,13,18,10,8,2,0,5,6,16,14,3,1,463,297,368,197,20,10,107,105,95,78,0,0,,,D
C64ls3AE,16.12.2018 14:00,Kayserispor,Akhisarspor,1,0,52%,48%,13,7,5,2,6,4,2,1,11,22,3,6,3,3,2,4,19,8,2,1,439,405,347,319,11,12,127,134,73,84,0,0,,,H
I37dusuR,16.12.2018 11:30,Yeni Malatyaspor,Antalyaspor,2,0,41%,59%,12,8,3,1,7,5,2,2,21,17,2,2,1,2,1,1,16,18,2,4,333,470,245,390,11,14,89,87,38,59,1,1,,,H
2yqTZK2l,15.12.2018 17:00,Basaksehir,Galatasaray,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
A1nyYbX0,15.12.2018 14:00,Konyaspor,Kasimpasa,3,2,46%,54%,10,20,3,6,3,7,4,7,13,10,3,8,1,1,4,0,9,11,2,6,371,405,279,325,26,8,88,111,37,83,0,0,,,H
YF5prqe8,15.12.2018 11:30,Rizespor,Alanyaspor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,D
OppPz1mr,15.12.2018 11:30,Sivasspor,Ankaragucu,4,0,53%,47%,19,10,8,4,8,3,3,3,8,11,9,6,1,2,4,4,13,11,1,4,442,393,367,313,19,10,95,84,75,68,0,0,,,H
6T3htNPK,14.12.2018 18:30,Goztepe,Bursaspor,0,0,43%,57%,8,6,2,3,4,3,2,0,8,15,3,6,3,2,3,2,15,13,1,3,390,514,276,396,23,15,94,125,63,72,0,0,,,D
z345sC4c,10.12.2018 18:00,Ankaragucu,Basaksehir,0,1,35%,65%,8,15,1,8,6,3,1,4,16,8,0,7,1,2,7,1,10,14,0,1,381,711,312,653,7,11,70,131,37,77,0,0,,,A
AsKkM1Yl,10.12.2018 18:00,Kasimpasa,Kayserispor,0,3,61%,39%,25,17,5,10,16,7,4,0,8,11,11,3,1,1,7,5,13,15,3,2,450,302,356,210,10,21,101,90,96,47,0,0,,,A
IRgAtWJ3,09.12.2018 17:00,Akhisarspor,Fenerbahce,3,0,40%,60%,12,16,4,4,8,6,0,6,5,10,2,7,2,3,4,1,13,7,2,1,368,559,293,467,18,13,122,129,56,84,0,0,,,H
dbM1JaI7,09.12.2018 14:00,Bursaspor,Antalyaspor,0,2,69%,31%,13,6,4,3,6,3,3,0,10,13,9,0,0,1,1,4,21,11,4,1,684,314,603,225,11,15,116,59,112,43,0,0,,,A
SIUpNsJr,09.12.2018 11:30,Erzurumspor,Yeni Malatyaspor,1,3,53%,47%,15,9,5,5,7,2,3,2,13,5,9,4,2,1,2,4,10,15,0,3,404,361,322,279,21,28,108,114,59,67,0,0,,,A
I7NcKu31,08.12.2018 17:00,Galatasaray,Rizespor,2,2,56%,44%,20,18,8,8,8,8,4,2,17,13,8,4,2,6,6,6,11,12,2,1,467,368,364,275,16,22,115,98,83,78,0,0,,,D
OpOgLLme,08.12.2018 14:00,Trabzonspor,Konyaspor,3,0,64%,36%,18,7,6,2,5,4,7,1,14,13,5,2,0,2,2,3,13,13,2,3,570,317,480,224,9,16,110,84,72,39,0,0,,,H
jg7HvAlG,08.12.2018 11:30,Sivasspor,Goztepe,2,0,51%,49%,15,7,6,1,5,4,4,2,14,13,7,3,0,2,1,4,13,13,3,4,426,430,337,346,15,15,84,80,56,44,0,1,,,H
dIhEujZ9,07.12.2018 18:00,Alanyaspor,Besiktas,0,0,44%,56%,13,9,3,3,7,4,3,2,19,20,7,10,5,4,3,3,15,16,3,2,374,465,262,355,22,20,94,113,74,86,0,0,,,D
Ma01rhki,03.12.2018 18:00,Fenerbahce,Kasimpasa,2,2,60%,40%,21,16,3,3,13,7,5,6,16,9,8,2,1,1,1,1,11,19,3,1,515,349,403,271,23,14,113,89,90,51,0,0,,,D
GbXvRjKG,03.12.2018 18:00,Yeni Malatyaspor,Akhisarspor,1,1,53%,47%,9,7,3,3,2,1,4,3,11,11,2,4,3,2,2,2,16,13,4,3,508,436,422,335,22,21,149,112,70,85,0,0,,,D
lCVnPUlT,02.12.2018 18:00,Besiktas,Galatasaray,1,0,48%,52%,14,11,5,2,6,9,3,0,16,23,6,5,2,2,2,4,21,14,4,4,380,413,271,295,16,14,89,105,60,71,0,0,,,H
4OTzSW4A,02.12.2018 14:00,Bursaspor,Erzurumspor,2,1,53%,47%,13,8,4,2,4,4,5,2,13,19,2,3,1,2,1,2,19,13,2,1,506,444,411,332,20,21,130,102,87,54,0,0,,,H
8dCJJ8Cj,01.12.2018 17:00,Kayserispor,Trabzonspor,0,2,54%,46%,7,18,2,7,4,9,1,2,17,15,2,5,1,0,5,2,15,16,5,1,405,356,315,267,12,20,114,95,65,64,0,0,,,A
ALWrQAZM,01.12.2018 14:00,Antalyaspor,Goztepe,1,0,39%,61%,8,15,4,3,3,7,1,5,18,10,6,4,1,1,3,3,17,17,2,1,326,519,239,438,17,13,91,106,67,74,0,0,,,H
r9uSThzb,01.12.2018 14:00,Basaksehir,Sivasspor,0,1,70%,30%,16,9,2,1,8,4,6,4,17,8,6,0,0,2,0,2,8,15,3,3,753,323,663,238,12,15,109,76,94,32,0,0,,,A
U5DFKlcp,30.11.2018 18:00,Konyaspor,Alanyaspor,2,0,47%,53%,7,8,2,2,4,5,1,1,9,12,2,3,3,3,2,2,10,10,3,2,419,453,327,347,15,13,96,90,48,50,0,1,,,H
MavWSCk4,30.11.2018 18:00,Rizespor,Ankaragucu,1,1,65%,35%,21,10,6,4,9,4,6,2,5,12,7,2,3,1,3,5,12,6,3,2,532,294,432,182,15,12,109,78,107,46,0,0,,,D
EZzOUYKi,26.11.2018 18:00,Goztepe,Basaksehir,0,2,56%,44%,15,15,4,7,8,5,3,3,0,0,7,1,2,4,5,4,8,13,4,3,561,447,456,347,12,18,114,89,88,49,0,0,,,A
Ywby7VSp,25.11.2018 17:00,Kasimpasa,Yeni Malatyaspor,3,0,43%,57%,21,17,9,2,6,12,6,3,9,19,7,4,1,2,2,6,19,9,2,1,339,443,239,332,19,24,88,95,74,74,0,0,,,H
42h0FgL4,25.11.2018 17:00,Trabzonspor,Fenerbahce,2,1,55%,45%,26,11,8,3,12,5,6,3,17,13,6,6,3,1,2,6,11,17,3,3,470,383,362,271,18,11,109,111,97,62,0,0,,,H
dI69BBKT,25.11.2018 14:00,Akhisarspor,Bursaspor,2,4,36%,64%,6,19,3,7,3,6,0,6,7,10,3,7,0,0,3,1,13,11,0,2,348,620,245,513,20,18,72,94,37,78,0,0,,,A
O481DXkH,25.11.2018 11:30,Sivasspor,Rizespor,1,1,55%,45%,25,9,6,4,8,2,11,3,,,19,3,0,1,3,5,14,7,2,3,553,449,415,320,11,31,122,103,109,45,1,0,,,D
AugdGZ5b,24.11.2018 17:00,Ankaragucu,Besiktas,1,4,48%,52%,15,15,4,6,7,7,4,2,1,0,4,5,1,1,2,3,18,15,2,2,380,410,274,301,13,22,100,117,80,84,0,0,,,A
rgi4EDzB,24.11.2018 14:00,Alanyaspor,Kayserispor,5,0,52%,48%,15,5,10,1,5,3,0,1,0,0,9,2,3,1,1,5,20,11,3,5,486,443,370,341,22,17,90,83,78,47,0,0,,,H
2e75Ci5N,24.11.2018 11:30,Erzurumspor,Antalyaspor,1,0,62%,38%,13,7,1,1,8,5,4,1,0,1,7,3,2,1,1,1,12,12,3,0,550,340,437,237,14,17,78,66,76,52,0,0,,,H
zqxKVE5o,23.11.2018 18:30,Galatasaray,Konyaspor,1,1,62%,38%,13,8,2,2,6,5,5,1,13,10,0,3,2,4,1,1,12,14,1,3,602,377,478,260,14,15,136,89,62,46,1,0,,,D
WzFJ2Gya,11.11.2018 18:30,Besiktas,Sivasspor,1,2,64%,36%,9,10,2,3,5,5,2,2,18,18,6,5,4,4,1,1,14,14,4,3,578,324,468,210,10,23,155,97,74,51,0,0,,,A
pbLZbYzO,11.11.2018 17:00,Antalyaspor,Akhisarspor,1,2,58%,42%,17,5,6,3,9,1,2,1,17,10,8,7,0,0,1,5,10,17,3,1,512,355,449,275,15,16,102,99,84,41,0,0,,,A
