id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
bXgnagDE,05.11.2023 14:00,Basaksehir,Ankaragucu,3,3,0.86,0.46,47%,53%,9,10,4,5,2,4,3,1,15,8,1,3,1,3,20,16,2,1,7,12,2,0,103,86,50,35,0,0,D
QoASvPRa,05.11.2023 14:00,Konyaspor,Karagumruk,1,1,0.64,1.02,50%,50%,10,9,3,2,4,5,3,2,19,16,2,8,3,1,24,24,1,2,13,19,2,4,128,88,41,33,0,0,D
neBOu5Cg,05.11.2023 11:30,Sivasspor,Adana Demirspor,1,1,2.53,0.59,39%,61%,19,14,10,4,7,4,2,6,15,17,5,6,3,0,7,19,3,9,14,15,1,3,88,115,47,52,0,0,D
IL6Ktocm,04.11.2023 17:00,Fenerbahce,Trabzonspor,2,3,2.40,0.51,68%,32%,12,6,4,4,4,1,4,1,26,14,10,4,0,3,26,14,1,2,14,27,5,4,86,73,59,19,1,0,A
WQ10yjL7,04.11.2023 14:00,Samsunspor,Hatayspor,2,1,2.15,0.97,57%,43%,15,10,6,3,5,5,4,2,15,11,12,4,4,0,10,21,2,4,7,16,3,7,121,92,48,22,0,1,H
COoawCje,04.11.2023 11:30,Istanbulspor AS,Pendikspor,2,4,2.02,3.68,58%,42%,15,22,4,11,7,6,4,5,9,17,4,7,3,1,11,11,7,2,14,8,2,3,71,100,56,67,0,0,A
hz3dxW51,03.11.2023 18:00,Galatasaray,Kasimpasa,2,1,1.57,0.67,60%,40%,13,12,3,5,6,5,4,2,15,16,5,3,5,3,19,20,4,1,11,12,2,3,135,97,50,22,0,0,H
KQ6KpfbL,30.10.2023 18:00,Besiktas,Gaziantep,2,0,1.81,1.14,62%,38%,13,12,6,6,4,5,3,1,17,16,7,3,1,1,14,22,6,4,15,16,2,5,141,78,74,38,1,1,H
2kdPqEDR,29.10.2023 17:00,Ankaragucu,Samsunspor,2,0,,,63%,37%,12,3,5,2,6,1,1,0,14,8,4,6,0,1,24,18,2,3,8,14,0,2,101,81,36,38,0,0,H
tz8GozqF,29.10.2023 17:00,Antalyaspor,Basaksehir,1,0,,,38%,62%,11,8,1,3,5,2,5,3,18,19,7,5,0,1,24,22,3,0,20,19,3,5,81,98,56,46,0,0,H
vc8IQY6k,29.10.2023 17:00,Pendikspor,Fenerbahce,0,5,,,39%,61%,2,19,0,10,2,5,0,4,13,11,0,6,4,2,17,27,5,0,7,11,1,2,63,113,11,61,0,0,A
C03CnGT8,29.10.2023 14:00,Karagumruk,Trabzonspor,0,0,,,44%,56%,6,12,3,0,2,10,1,2,13,12,6,3,4,2,30,22,0,3,8,11,2,1,98,93,35,37,0,0,D
Y948mdE2,28.10.2023 18:00,Adana Demirspor,Konyaspor,3,0,,,59%,41%,15,13,5,4,6,7,4,2,12,16,4,5,4,4,22,14,4,2,12,10,1,1,101,80,78,26,0,0,H
vBmiuYLr,28.10.2023 18:00,Rizespor,Galatasaray,0,1,,,35%,65%,11,20,3,5,5,6,3,9,12,16,6,5,2,1,15,30,4,3,14,11,3,3,88,122,41,75,0,0,A
W4QPOCy2,28.10.2023 15:00,Alanyaspor,Sivasspor,1,2,,,52%,48%,12,15,5,4,5,10,2,1,13,14,7,2,1,1,16,14,2,4,13,12,3,1,100,88,50,38,0,0,A
069EREiq,27.10.2023 19:00,Hatayspor,Kayserispor,1,2,,,54%,46%,18,8,9,2,5,4,4,2,17,10,12,1,0,4,18,19,1,8,10,15,5,0,118,72,58,22,0,0,A
YJ7MPhMe,27.10.2023 19:00,Kasimpasa,Istanbulspor AS,3,1,,,35%,65%,19,17,11,6,3,10,5,1,13,14,8,5,1,2,20,25,5,8,13,11,2,2,86,112,45,57,0,0,H
jXZUZxp3,23.10.2023 19:00,Karagumruk,Adana Demirspor,2,0,,,46%,54%,10,11,6,5,3,5,1,1,12,19,5,4,1,4,20,30,5,4,18,8,0,1,88,101,31,41,0,0,H
YePZYda9,23.10.2023 19:00,Trabzonspor,Alanyaspor,1,0,,,48%,52%,14,15,3,3,8,6,3,6,9,17,7,5,2,5,18,25,3,2,15,4,1,2,101,104,48,33,0,0,H
naTwYGEF,22.10.2023 18:00,Fenerbahce,Hatayspor,4,2,,,54%,46%,17,8,6,5,8,2,3,1,15,11,7,5,1,1,20,17,3,2,10,14,1,4,91,71,40,33,0,0,H
pzmqCZid,22.10.2023 18:00,Samsunspor,Basaksehir,0,0,,,36%,64%,20,7,5,0,8,4,7,3,11,18,8,0,1,3,21,18,0,5,17,8,2,2,111,80,56,23,0,0,D
OKbzEeNq,22.10.2023 15:00,Istanbulspor AS,Ankaragucu,2,1,,,48%,52%,7,9,3,1,2,3,2,5,15,15,2,5,2,1,10,21,0,1,14,14,0,3,80,123,32,62,0,0,H
tMSsXzUL,22.10.2023 12:30,Sivasspor,Kasimpasa,0,1,,,59%,41%,17,17,8,6,6,7,3,4,11,14,7,8,4,2,31,14,5,8,10,9,0,2,110,71,54,36,0,0,A
6qluDFxj,21.10.2023 18:00,Galatasaray,Besiktas,2,1,,,52%,48%,25,2,10,2,7,0,8,0,18,14,6,2,2,1,17,20,1,8,12,19,3,5,123,69,55,29,0,1,H
CtyRzJUd,21.10.2023 15:00,Gaziantep,Antalyaspor,1,0,,,38%,62%,10,8,2,2,4,2,4,4,14,17,6,4,1,0,38,19,2,1,16,14,1,2,81,95,52,31,0,0,H
KCRoWfqS,21.10.2023 15:00,Konyaspor,Pendikspor,1,2,,,61%,39%,16,8,8,3,5,4,3,1,16,11,5,2,7,4,19,19,1,7,4,12,1,3,123,77,57,31,0,0,A
na78IyFS,21.10.2023 12:30,Kayserispor,Rizespor,3,1,,,63%,37%,20,12,7,3,7,5,6,4,11,17,5,2,3,3,18,15,2,4,13,12,5,2,117,64,41,24,0,0,H
0rqR5bVM,08.10.2023 18:00,Hatayspor,Konyaspor,3,1,,,44%,56%,10,8,5,5,1,3,4,0,14,20,3,2,1,5,15,14,4,2,19,10,2,0,78,124,33,32,0,0,H
WQZd0xgp,08.10.2023 18:00,Kasimpasa,Fenerbahce,0,2,,,43%,57%,6,20,1,7,2,11,3,2,14,12,1,8,0,2,29,20,5,1,13,12,3,0,96,141,27,82,0,0,A
dAEeLwV9,08.10.2023 15:00,Besiktas,Istanbulspor AS,2,0,,,67%,33%,17,4,5,2,6,1,6,1,10,18,4,4,6,1,18,17,2,3,12,10,2,2,169,52,89,35,0,0,H
hx84JHaM,08.10.2023 12:30,Rizespor,Samsunspor,1,0,,,31%,69%,8,12,4,3,3,6,1,3,16,10,4,8,1,1,18,20,3,3,9,15,3,3,52,117,28,89,1,0,H
IJFiMJF3,07.10.2023 18:00,Antalyaspor,Galatasaray,0,2,,,39%,61%,12,11,4,7,7,2,1,2,24,17,3,7,2,3,18,23,5,4,15,21,1,3,90,105,49,40,0,0,A
OdGmNa0c,07.10.2023 18:00,Basaksehir,Gaziantep,2,0,,,51%,49%,8,12,3,1,1,8,4,3,12,14,5,7,3,2,13,21,1,1,12,10,,,89,133,29,63,0,0,H
Eo90KcpG,07.10.2023 15:00,Ankaragucu,Kayserispor,3,0,,,48%,52%,12,4,8,1,2,3,2,0,12,4,1,3,3,2,25,16,1,5,1,10,,,89,132,20,65,0,0,H
vZsV4IpT,07.10.2023 12:30,Pendikspor,Sivasspor,2,3,,,64%,36%,15,15,6,7,6,8,3,0,16,14,9,4,0,3,13,13,4,4,14,13,4,2,133,69,62,21,0,0,A
CMCqOuoi,06.10.2023 19:00,Adana Demirspor,Trabzonspor,1,0,,,46%,54%,13,18,8,3,4,8,1,7,9,18,3,3,1,0,16,21,3,7,17,9,5,3,88,112,43,56,0,0,H
AHY0ad8j,06.10.2023 19:00,Alanyaspor,Karagumruk,2,1,,,47%,53%,6,10,3,4,2,4,1,2,17,18,3,6,2,1,21,25,3,1,16,16,4,1,89,109,33,57,0,0,H
veHk67P5,02.10.2023 19:00,Kayserispor,Basaksehir,0,0,,,52%,48%,14,8,1,4,4,2,9,2,16,8,10,5,2,1,23,17,4,1,6,15,2,2,113,85,50,39,0,0,D
QkM9B21o,01.10.2023 18:00,Adana Demirspor,Alanyaspor,4,0,,,52%,48%,15,9,7,1,5,8,3,0,14,13,7,3,2,0,20,19,1,3,11,14,2,3,98,99,44,43,0,0,H
IJgM6vGG,01.10.2023 18:00,Konyaspor,Besiktas,0,2,,,39%,61%,5,6,3,1,1,4,1,1,22,18,2,6,5,2,19,15,0,3,13,20,2,3,73,112,26,40,1,0,A
AgjE80o4,01.10.2023 15:00,Fenerbahce,Rizespor,5,0,,,63%,37%,23,5,11,1,8,3,4,1,16,11,8,2,1,1,25,5,1,6,10,15,1,3,130,64,98,15,0,0,H
4tLDAMGi,01.10.2023 12:30,Karagumruk,Kasimpasa,2,3,,,73%,27%,14,4,5,3,7,1,2,0,17,11,8,0,2,4,24,13,0,3,9,14,3,3,158,57,86,9,0,0,A
0A5b4ofI,30.09.2023 18:00,Galatasaray,Ankaragucu,2,1,,,78%,22%,34,7,13,2,14,4,7,1,11,12,12,3,1,1,22,16,1,11,11,10,0,3,170,76,83,23,0,0,H
IoGg5RvC,30.09.2023 15:00,Istanbulspor AS,Antalyaspor,1,2,,,47%,53%,4,17,3,5,0,9,1,3,17,10,4,8,2,0,19,16,3,2,8,17,2,3,93,110,32,66,0,0,A
W2iA9tWc,30.09.2023 15:00,Trabzonspor,Pendikspor,2,1,,,42%,58%,11,9,3,4,6,4,2,1,8,20,4,2,1,0,17,23,3,1,19,8,2,1,78,111,25,42,1,0,H
4GkI7K0A,30.09.2023 12:30,Sivasspor,Hatayspor,0,0,,,48%,52%,12,4,4,1,5,3,3,0,20,12,6,7,3,1,17,14,1,4,9,20,3,3,79,80,48,38,0,0,D
CnYRnJOp,29.09.2023 19:00,Samsunspor,Gaziantep,1,2,,,62%,38%,18,4,2,3,8,0,8,1,12,13,9,2,0,1,27,21,1,1,13,12,2,3,154,73,64,23,0,0,A
jDBIj78L,28.09.2023 19:00,Fenerbahce,Basaksehir,4,0,,,54%,46%,16,6,8,0,4,5,4,1,10,24,14,2,2,2,15,25,0,4,22,9,4,1,106,65,55,12,0,0,H
GfJ5g9O2,27.09.2023 19:00,Adana Demirspor,Besiktas,4,2,,,44%,56%,14,16,7,5,6,6,1,5,16,16,1,5,0,1,18,17,3,3,16,15,2,1,52,133,19,54,0,0,H
6PyFWoHk,26.09.2023 19:00,Istanbulspor AS,Galatasaray,0,1,,,38%,62%,4,17,3,7,1,7,0,3,15,12,3,4,3,2,17,21,6,3,12,16,1,2,57,171,19,68,0,0,A
Gb1A9LE0,25.09.2023 19:00,Hatayspor,Trabzonspor,3,2,,,55%,45%,9,6,3,3,2,1,4,2,14,23,9,1,2,2,19,13,1,0,22,13,6,2,97,100,46,34,0,0,H
2F3M6JbJ,24.09.2023 19:00,Alanyaspor,Fenerbahce,0,1,,,46%,54%,2,14,1,7,0,4,1,3,14,18,4,5,3,0,18,22,6,1,15,14,2,6,64,96,28,63,0,0,A
OO4I7aqD,24.09.2023 19:00,Kasimpasa,Adana Demirspor,2,1,,,55%,45%,13,19,7,6,3,7,3,6,5,24,6,11,5,1,16,22,5,5,21,7,4,3,66,81,36,47,0,3,H
WUDs8Tfg,24.09.2023 16:00,Ankaragucu,Konyaspor,1,1,,,56%,44%,15,7,1,1,5,3,9,3,10,15,4,2,0,2,37,22,0,0,15,8,1,1,116,85,36,25,0,0,D
l6Ox99um,24.09.2023 16:00,Besiktas,Kayserispor,2,1,,,61%,39%,23,5,10,1,10,4,3,0,15,13,7,2,0,5,18,16,0,8,13,10,1,0,155,66,76,19,0,0,H
xWKY9kQt,23.09.2023 19:00,Antalyaspor,Samsunspor,2,0,,,46%,54%,7,9,3,1,3,4,1,4,11,22,1,4,0,0,18,28,1,1,22,11,2,1,73,115,34,42,0,0,H
KjY6EVHP,23.09.2023 19:00,Basaksehir,Galatasaray,1,2,,,37%,63%,6,17,2,4,2,9,2,4,16,19,2,4,3,1,26,18,2,1,18,15,3,2,92,129,32,40,0,0,A
U15E8uU6,23.09.2023 16:00,Pendikspor,Karagumruk,1,1,,,46%,54%,8,10,4,4,2,5,2,1,12,16,5,4,3,3,19,22,3,3,13,10,0,1,85,111,29,48,0,0,D
ALCo7mAa,23.09.2023 16:00,Rizespor,Sivasspor,1,1,,,54%,46%,14,14,4,4,7,4,3,6,20,16,5,4,3,1,26,24,3,3,12,17,7,3,102,91,52,45,0,0,D
t0Z2FB2J,22.09.2023 19:00,Gaziantep,Istanbulspor AS,2,0,,,37%,63%,13,5,2,0,6,3,5,2,15,15,8,4,4,2,13,23,0,0,11,13,1,5,81,98,54,38,0,0,H
2oxRHq7K,18.09.2023 19:00,Karagumruk,Hatayspor,0,0,,,46%,54%,5,18,2,5,3,10,0,3,11,16,3,3,3,2,22,21,5,2,14,9,3,2,96,106,50,44,0,0,D
fqD1Bspl,18.09.2023 19:00,Sivasspor,Ankaragucu,1,3,,,54%,46%,15,15,9,5,5,8,1,2,12,7,5,3,0,0,37,18,2,8,7,12,3,2,124,88,39,33,1,0,A
zupuftFD,17.09.2023 19:00,Alanyaspor,Kasimpasa,3,3,,,56%,44%,13,17,6,3,2,9,5,5,12,11,5,7,2,1,19,21,0,3,9,11,,,113,99,63,50,0,0,D
pARVG3MQ,17.09.2023 19:00,Trabzonspor,Besiktas,3,0,,,31%,69%,8,7,5,1,3,2,0,4,14,16,2,7,1,3,19,37,1,2,15,11,4,1,75,102,25,53,0,0,H
nJDcCNUs,17.09.2023 16:00,Fenerbahce,Antalyaspor,3,2,,,55%,45%,17,14,10,6,2,4,5,4,12,13,7,5,1,1,17,24,4,7,13,11,3,4,100,63,77,25,0,0,H
vDjWe2p1,17.09.2023 16:00,Istanbulspor AS,Basaksehir,0,2,,,39%,61%,5,20,0,8,4,7,1,5,12,15,0,7,0,3,12,15,6,0,15,9,4,0,76,125,46,60,0,0,A
lrYMIPiE,16.09.2023 19:00,Adana Demirspor,Pendikspor,3,0,,,45%,55%,18,15,7,5,9,3,2,7,8,14,6,6,6,2,20,10,5,4,8,6,0,3,88,108,47,50,0,0,H
dloyeMa7,16.09.2023 19:00,Galatasaray,Samsunspor,4,2,,,54%,46%,9,9,5,4,3,3,1,2,19,20,2,6,1,1,21,28,2,1,17,15,1,3,99,96,33,50,0,0,H
0MiSdrVf,16.09.2023 16:00,Kayserispor,Gaziantep,2,0,,,54%,46%,10,16,4,5,3,6,3,5,7,15,3,7,4,0,15,15,5,2,11,8,0,1,81,111,29,59,0,0,H
YZB5A1af,16.09.2023 16:00,Konyaspor,Rizespor,1,2,,,38%,62%,6,11,4,2,0,5,2,4,15,12,2,4,1,2,22,21,0,3,12,14,2,1,70,96,27,46,0,0,A
8EZKb40r,03.09.2023 20:45,Ankaragucu,Fenerbahce,0,1,,,49%,51%,14,14,2,2,6,8,6,4,14,16,4,2,0,0,22,16,1,2,15,14,2,3,94,94,43,48,0,1,A
SfEop5ok,03.09.2023 20:45,Hatayspor,Adana Demirspor,3,3,,,35%,65%,14,11,7,6,5,5,2,0,13,20,3,7,1,5,13,10,3,4,19,9,6,2,57,109,17,72,0,0,D
2Xdh3phR,03.09.2023 18:15,Besiktas,Sivasspor,2,0,,,66%,34%,17,5,8,1,7,3,2,1,20,18,7,2,1,3,14,15,1,6,17,17,2,4,150,60,72,19,0,0,H
Otbl4QxL,02.09.2023 20:45,Antalyaspor,Kayserispor,1,1,,,57%,43%,20,7,7,3,6,2,7,2,13,15,9,3,1,2,24,15,2,6,14,11,2,3,95,64,59,17,0,0,D
GGft6n88,02.09.2023 20:45,Gaziantep,Galatasaray,0,3,,,32%,68%,15,15,6,4,6,5,3,6,17,14,4,7,4,4,19,20,1,6,12,13,2,0,79,103,38,35,0,0,A
f7gp56NE,02.09.2023 18:15,Basaksehir,Konyaspor,0,1,,,50%,50%,11,13,2,5,5,5,4,3,13,14,2,4,1,0,15,9,4,2,13,13,4,2,82,109,44,42,1,0,A
6oDkqP0e,02.09.2023 18:15,Pendikspor,Alanyaspor,1,1,,,58%,42%,10,8,3,4,5,3,2,1,16,7,8,4,1,2,23,28,3,2,9,14,3,2,115,68,66,32,0,0,D
08CgrqG1,01.09.2023 20:00,Kasimpasa,Trabzonspor,1,5,,,50%,50%,19,7,6,6,12,1,1,0,16,13,9,3,3,0,25,19,1,5,10,16,3,3,116,100,53,26,0,0,A
6ahOcOFl,01.09.2023 20:00,Rizespor,Karagumruk,1,0,,,51%,49%,13,17,4,3,7,5,2,9,16,13,1,6,1,0,23,21,3,3,12,17,3,2,80,120,38,58,0,0,H
SvQNUPo2,27.08.2023 20:45,Alanyaspor,Hatayspor,0,0,,,60%,40%,15,5,5,0,7,2,3,3,18,18,9,1,7,1,25,16,0,5,9,17,4,3,116,69,67,23,0,0,D
foI9hTw9,27.08.2023 18:15,Karagumruk,Ankaragucu,1,1,,,49%,51%,6,7,2,5,3,2,1,0,14,15,3,5,0,2,12,21,4,1,15,12,1,1,103,119,46,39,0,0,D
fkYAXR1q,27.08.2023 18:15,Kayserispor,Samsunspor,2,1,,,56%,44%,11,6,4,1,6,4,1,1,10,9,3,2,2,2,24,18,0,2,7,8,,,97,92,44,50,0,0,H
pzBMkRNR,26.08.2023 20:45,Sivasspor,Antalyaspor,1,1,,,55%,45%,6,8,2,4,2,3,2,1,17,18,3,4,7,2,21,15,3,1,11,15,3,3,90,86,26,22,0,0,D
llRJV5We,26.08.2023 18:15,Kasimpasa,Pendikspor,1,1,,,56%,44%,7,16,3,6,3,8,1,2,17,10,9,2,3,0,16,14,5,2,10,19,3,2,119,84,56,42,0,1,D
xA7EimgF,26.08.2023 18:15,Trabzonspor,Rizespor,2,3,,,60%,40%,20,12,7,7,6,2,7,3,18,10,9,2,0,2,26,13,4,5,10,17,1,2,132,76,74,48,0,0,A
nqclooWr,25.08.2023 20:00,Konyaspor,Gaziantep,2,0,,,54%,46%,17,8,8,3,6,4,3,1,10,10,10,2,1,1,33,21,3,6,9,8,1,2,100,92,51,28,0,0,H
O2BwjzIA,21.08.2023 20:00,Ankaragucu,Adana Demirspor,1,1,,,46%,54%,18,12,5,4,9,2,4,6,13,11,3,4,3,3,24,21,3,4,9,10,1,1,92,112,36,44,0,0,D
I5zvVYuo,21.08.2023 20:00,Samsunspor,Fenerbahce,0,2,,,40%,60%,5,13,1,6,3,5,1,2,14,14,2,5,3,4,24,22,4,1,11,10,1,1,78,114,19,59,0,0,A
6RGYjG24,20.08.2023 20:45,Besiktas,Pendikspor,1,1,,,61%,39%,15,11,6,1,4,3,5,7,12,12,6,4,2,3,23,26,0,5,11,9,4,5,103,36,39,14,0,0,D
KAEMgIIo,20.08.2023 20:45,Gaziantep,Sivasspor,1,3,,,58%,42%,11,12,2,6,5,5,4,1,17,20,7,4,1,1,20,24,3,1,19,16,6,3,128,87,69,27,0,0,A
YDIQhxYi,20.08.2023 18:15,Basaksehir,Karagumruk,0,2,,,56%,44%,15,9,5,2,7,3,3,4,14,13,5,4,2,0,24,13,0,5,11,14,3,4,150,62,45,21,0,0,A
GdlCZEXT,19.08.2023 20:45,Galatasaray,Trabzonspor,2,0,,,65%,35%,15,5,6,1,5,2,4,2,9,25,7,1,3,2,21,20,1,4,21,7,4,3,111,92,39,25,0,0,H
rVz5yy3H,19.08.2023 20:45,Hatayspor,Kasimpasa,0,0,,,60%,40%,8,11,2,2,5,7,1,2,10,10,3,1,3,3,18,24,2,2,7,6,,,105,93,51,41,0,0,D
2gAskfXG,19.08.2023 18:15,Rizespor,Alanyaspor,0,0,,,43%,57%,12,9,3,2,3,3,6,4,14,12,3,3,0,1,17,17,2,3,12,13,2,3,86,110,35,42,0,1,D
SzIUidmb,18.08.2023 20:00,Antalyaspor,Konyaspor,1,1,,,64%,36%,18,7,4,3,6,2,8,2,14,13,5,5,0,2,19,16,2,3,14,11,2,2,125,81,68,22,0,0,D
MLZ8zeIN,18.08.2023 20:00,Istanbulspor AS,Kayserispor,1,1,,,48%,52%,7,9,3,4,2,3,2,2,12,13,4,6,2,1,17,11,3,2,11,11,1,0,95,105,35,38,0,0,D
t2EZLe3U,14.08.2023 20:00,Alanyaspor,Basaksehir,2,0,,,54%,46%,14,9,4,3,7,4,3,2,14,16,4,5,1,0,16,25,3,2,15,14,5,4,101,92,55,28,0,1,H
dElqtaln,14.08.2023 20:00,Karagumruk,Besiktas,0,1,,,39%,61%,4,13,0,6,2,2,2,5,15,16,4,4,3,1,19,19,5,0,13,14,4,1,64,130,8,56,0,0,A
INkusuZu,13.08.2023 20:45,Adana Demirspor,Rizespor,2,1,,,58%,42%,9,13,6,4,2,7,1,2,15,18,4,5,1,1,18,20,3,4,17,14,6,6,92,94,32,27,0,0,H
htrhvwJb,13.08.2023 20:45,Fenerbahce,Gaziantep,2,1,,,70%,30%,21,4,5,1,11,3,5,0,9,15,3,1,2,0,11,20,0,3,13,12,0,6,135,75,65,16,0,1,H
n3sdwcY4,13.08.2023 18:15,Sivasspor,Samsunspor,1,1,,,52%,48%,6,11,2,3,2,2,2,6,12,13,4,5,2,1,14,20,2,1,11,11,2,1,76,106,23,40,0,0,D
8CMMOcJB,12.08.2023 20:45,Kayserispor,Galatasaray,0,0,,,43%,57%,12,17,3,3,7,12,2,2,6,15,3,9,3,1,21,31,3,3,11,6,2,2,91,116,29,63,0,0,D
n3LQNHYH,12.08.2023 20:45,Pendikspor,Hatayspor,1,5,,,57%,43%,6,15,4,9,1,4,1,2,21,12,4,2,3,3,15,22,4,3,10,18,0,1,109,78,40,28,0,0,A
URAVMylO,12.08.2023 18:15,Kasimpasa,Ankaragucu,3,2,,,48%,52%,15,9,5,3,7,5,3,1,15,11,3,5,2,0,22,19,1,2,8,15,1,0,106,94,40,51,0,0,H
06o0xHmB,12.08.2023 18:15,Konyaspor,Istanbulspor AS,1,1,,,57%,43%,15,4,2,2,12,1,1,1,12,12,10,2,1,2,24,20,1,1,13,10,3,5,131,54,86,18,1,2,D
EkqluJ3h,11.08.2023 20:00,Trabzonspor,Antalyaspor,1,0,,,47%,53%,13,11,5,2,6,4,2,5,12,19,6,9,1,1,15,19,2,4,18,11,0,1,109,87,45,54,0,0,H
